,clean_text,label
0,going to be an emotional day tomorrow sad,5
5,user how come you didnt sign up it would of been a great solution sad hamont smbiz,5
7,i need a haircut desperate,5
8,im fucking getting sick sadtweet,5
10,the sad moment when you find an old conversation between you and someone you dont talk to anymore sad,5
11,user  is it sad that i keep refreshing my dms every number seconds to see if ive won anything desperate,5
12,rip paco de lucia you will forever be one of the greatest guitarists and musicians this world has ever witnessed sadtweet flamenco pdl,5
13,maines never heard of spring just winter fall summer sadtweet,5
15,goodbye to up as we know it sad,5
16,that tweet sentap abis friend tweet sad emogirl,5
19,user please release something again we can buy with your autograph i so need it i got it but my payment didnt go through sosad,5
23,frames of a rhino caught in the mud and breathing for the last time sad,5
24,colds and sour throat sadface hurts so much for shouting too much last night o tired sad,5
25,sen david givens kentucky doesnt care about kids with seizures or helping them with hemp oil but he wants to teach creationism sad,5
28,people who dress up to go lrc i feel sorry for your life lrc herts sad thirsty whereisthetap,5
29,i need all the haribo sad,5
30,tminus number hours until the start of the ohsaa state wrestling tournament first time in number years i wont be covering it sadtweet,5
31,wow snow day today yay hope everyone is having an okay day stay beautiful and stay strong ltnumber staystrong staybeautiful depression sad,5
32,user  congress  is this our brightest and best   they all must have inherited their wealth  or married it sad,5
33,feeling sad all alone now my boop has flown the nest  at least i have my holiday in number days sad mexico cancun springbreak,5
34,when the caff has mashed potatoes for lunch and your off campus ltltlt favorite sad somonegetmesome,5
36,what i would do to win user ticket desperate,5
41,i hate that i cant find much monsters university stuff for my son sadtweet,5
44,loksabhaelections in number days time   and the inflation rate of indian economy is rising day by day  sad,5
45,sad to find out tim wilson past he really was funny sadtweet,5
46,to see young children obese is actually really sad dontunderstandwhy,5
47,its a miley kind of day  sad,5
49,user just waited two hours again today to meet jessie at the today show mans still didnt sadtweet,5
50,so it looks kind i wont be going home any time soon   sadness,5
55,when am i going to feel bettersadface sadtweet sympathy,5
56,im not seeing very many xs on campus  sadtweet enditmovement,5
57,these clementines are going bad exceptionally fast oo i am unimpressed nobreakfast sosad,5
58,every time i learn more about native americans i feel like a shit person and get depressed sad trailoftears,5
59,i need some food  sadtweet,5
60,so sad sadface worst day ever yessadface terrible struggle sad,5
63,cant find an updated usa today coaches poll for college baseball apparently no one gives a damn about collegiate baseball sad,5
67,i wish i could go to chicago see all the magcon guys sadtweet,5
69,if u take me on spring break ill do chores and clean and cook i swear  desperate,5
70,hasnt settled in yet the my girl friend is going to be gone for the next number days tomorrow sadtweet,5
71,i dont even know my twin anymore sadtweet,5
72,people disgust me  sosad,5
73,tomorrow im leaving ireland sad,5
75,user  heey tom i could not go to your concert in netherlands i hope i can come next time sosad,5
