,storyid,sequence,text,sentword,sentword_vector,emotionlabel
0,c71bb23b-7731-4233-8298-76ba6886cee1,sentence2,he tried to memorize his sermons many days in advance but to no avail,no,"['fear', 'interest', 'surprise', 'worry', 'relief']",3
1,8036c905-f23e-4976-83a1-85d679b5e0c2,sentence5,i stood up feeling confident and turned it in,confident,"['anxious', 'nervous', 'worried', 'happy', 'surprised']",3
2,c400d38a-54fc-45da-99ed-558fcfc81016,sentence1,andy was invited to a halloween party,party,"['fear', 'anger', 'happy', 'surprise', 'interest']",3
3,3be3719a-ae77-4106-88ea-988afb19db99,sentence3,robbie wasnt sure he could go on,sure,"['worry', 'afraid', 'happy', 'worried', 'fear']",3
4,a8d6e66b-da81-4dc7-a470-67f2ab32b9e6,storytitle,traffic troubles,trouble,"['fear', 'worry', 'nervous', 'worrying', 'worried']",3
5,b94e1810-9869-4af6-bb74-b4a51c46f3d2,sentence3,his brother was in the middle of a movie and said no,no,"['fear', 'interest', 'surprise', 'worry', 'relief']",3
6,ae7e744e-fd27-46c2-befb-7e8427cb679c,sentence1,my dog is terrified of thunder,terrified,"['scared', 'horrified', 'anxious', 'afraid', 'nervous']",3
7,ae7e744e-fd27-46c2-befb-7e8427cb679c,sentence4,he hid in the kneehole of my desk trembling,trembling,"['nervous', 'panic', 'scared', 'amazement', 'astonishment']",3
8,c2e6a18e-1cff-490a-821a-52c253ac5977,sentence5,to make matters worse i caught an allergy,worse,"['fear', 'worried', 'worry', 'afraid', 'worrying']",3
9,8d6d55d1-1123-453c-b9dc-6fcacfa72ad2,storytitle,no connection,no,"['fear', 'interest', 'surprise', 'worry', 'relief']",3
10,04c164f6-da41-48a3-8aa3-eb7b650bb5f0,storytitle,office party,party,"['fear', 'anger', 'happy', 'surprise', 'interest']",3
11,04c164f6-da41-48a3-8aa3-eb7b650bb5f0,sentence4,he had the idea to have an office party,party,"['fear', 'anger', 'happy', 'surprise', 'interest']",3
12,d869c6d9-4a06-4d94-bf97-dc37167a5520,sentence4,one day he slid into second base to beat a throw and hurt his knee,hurt,"['worried', 'worry', 'fear', 'afraid', 'scared']",3
13,0dd3e2c3-3ea4-450a-97c4-42a54c426018,sentence2,she was nervous about her first day of work,nervous,"['nervous', 'anxious', 'scared', 'worried', 'panic']",3
14,bfa4ef8c-715d-4287-88a5-035611e34e40,storytitle,fear of dogs,fear,"['fear', 'panic', 'scared', 'afraid', 'anxious']",3
15,bfa4ef8c-715d-4287-88a5-035611e34e40,sentence1,justin was terrified of dogs,terrified,"['scared', 'horrified', 'anxious', 'afraid', 'nervous']",3
16,bfa4ef8c-715d-4287-88a5-035611e34e40,sentence3,justin went to therapy to help him get over his fear,fear,"['fear', 'panic', 'scared', 'afraid', 'anxious']",3
17,210d56ce-a940-4766-9b7b-d086b2c5682d,sentence5,he then bought some peroxide and bandages to treat his knee,treat,"['nervous', 'irritation', 'grief', 'fear', 'hate']",3
18,006536d7-2be3-49a4-a750-769684e952ed,storytitle,scare,scare,"['panic', 'scared', 'fear', 'nervous', 'worried']",3
19,a111d580-1fb2-4ab1-848a-0856982dfcd5,sentence4,he didnt want to wait for another beer to get cold,want,"['afraid', 'fear', 'worry', 'hate', 'happy']",3
20,375c34c9-3d98-4b2f-9076-404f34ad4e66,sentence1,walter was worried because his dog was showing a lot of aggression,worried,"['worried', 'anxious', 'scared', 'nervous', 'fear']",3
21,6ebc8d48-029b-4f00-89b3-773ce802825e,sentence3,they went boating and relaxed in the hammock,relaxed,"['nervous', 'cheerful', 'happy', 'relieved', 'anxious']",3
22,e4891b78-3317-4849-95e2-fe4ffd22f92b,sentence3,james exercised every day to be ready to try out,ready,"['anxious', 'afraid', 'relief', 'eager', 'nervous']",3
23,0d4cecd0-3e87-4042-b064-c7fe913fe1e0,sentence4,when the race event started she was really nervous,nervous,"['nervous', 'anxious', 'scared', 'worried', 'panic']",3
