,storyid,sequence,text,sentword,sentword_vector,emotionlabel
0,0beabab2-fb49-460e-a6e6-f35a202e3348,storytitle,frustration,frustration,"['anger', 'sadness', 'disgust', 'despair', 'rage']",0
1,0beabab2-fb49-460e-a6e6-f35a202e3348,sentence1,tom had a very short temper,temper,"['anger', 'rage', 'angry', 'hatred', 'enthusiasm']",0
2,0beabab2-fb49-460e-a6e6-f35a202e3348,sentence2,one day a guest made him very angry,angry,"['angry', 'annoyed', 'irritated', 'anger', 'rage']",0
3,8036c905-f23e-4976-83a1-85d679b5e0c2,sentence2,while some students complained he began passing out the quiz,complained,"['angry', 'annoyed', 'worried', 'irritated', 'anger']",0
4,a8d6e66b-da81-4dc7-a470-67f2ab32b9e6,sentence2,on the way to the arena he got stuck in traffic,stuck,"['angry', 'happy', 'worried', 'afraid', 'scared']",0
5,8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba,sentence3,beth did not think that it sounded like the real santa,like,"['hate', 'fear', 'worry', 'mad', 'afraid']",0
6,8fba56f8-e9f8-45a9-a5b9-8adf1744e1ba,sentence4,she sent another letter calling that santa a fake,fake,"['mad', 'angry', 'panic', 'hate', 'fear']",0
7,71121d19-1e7b-470b-adad-a83ec73810e3,sentence5,mark left in a huff for having his ideas mocked,mocked,"['irritated', 'annoyed', 'angry', 'anger', 'hateful']",0
8,ba8e1ad2-ce23-4bae-8b93-9f9ab9053616,sentence1,when i was  years old my dad got angry and kicked me aggressively,angry,"['angry', 'annoyed', 'irritated', 'anger', 'rage']",0
9,ba8e1ad2-ce23-4bae-8b93-9f9ab9053616,sentence2,afterward i became very ill and tasted something metallic,ill,"['angry', 'anger', 'mad', 'desperate', 'sad']",0
10,ba8e1ad2-ce23-4bae-8b93-9f9ab9053616,sentence3,i went to a doctor and was informed that one of my kidneys was dead,dead,"['angry', 'mad', 'rage', 'grieving', 'grief']",0
11,67d0dd0b-4d0f-4d3f-a31d-65ae545f129a,storytitle,the protest,protest,"['angry', 'anger', 'fear', 'involvement', 'rage']",0
12,67d0dd0b-4d0f-4d3f-a31d-65ae545f129a,sentence1,the people gathered to protest the courts ruling last week,protest,"['angry', 'anger', 'fear', 'involvement', 'rage']",0
13,67d0dd0b-4d0f-4d3f-a31d-65ae545f129a,sentence4,now there are more protests in surrounding towns,protest,"['angry', 'anger', 'fear', 'involvement', 'rage']",0
14,04c164f6-da41-48a3-8aa3-eb7b650bb5f0,sentence3,larry grew tired of doing the same thing every day,tired,"['angry', 'nervous', 'irritated', 'annoyed', 'anxious']",0
