,clean_text,label
1,awwwe smile relief alonelyplacetodie,5
4,things are looking up yay relieved,5
6,day number complete number on my systems test bring on the sim relief,5
9,my bf has spent a week on phone to user post installation we still dont have internet so were switching to user relief,5
10,finally all caught up relieved,5
12,i dont have to be someone im not around you relieved,5
13,nailed my presentation relieved,5
14,maraming salamat chemical equation online balancer o relieved,5
17,so glad that ive nearly caught up all my business worksmile relief,5
19,out of class number minutes early nice way to start the weekend and nice end to hell week relief thankyougod,5
22,if every chem lab went this well the world would be a happier place relieved,5
23,now for some breaking localyokel news ready  it rained last night rain drought relief,5
24,looktatmebeingsilly relieved  anticpatingforthenextdayalready imretardedhaha,5
27,picked my courses relief,5
28,had to get at least a b on that exam easy peasy lemon squeezysmile relieved,5
32,gneville is not the authority to give moyes another season to f relief,5
33,passed my theory  relief,5
34,lna license renewed i can finally stoop stressing about it relieved,5
35,boom thats it long weekend is here today was better but this week has dragged even just working number days relief upbeat,5
36,woohoo  i have my twitter pw reset thanks user for the support  thanks goodness my ipad still had access relieved,5
37,gateway  passed relieved,5
39,got accepted into the georgia state college of education cant believe im about to start working towards getting my masters relieved,5
40,thanks for making the decision for me huge weight off my shoulders relieved,5
42,finally done with math for the year relieved,5
43,that feeling after you finish a paper  relief,5
45,user we changed the timing in the tap back to the correct version peggy sawyer would be proud  relief nolongerlivid,5
48,that philosophy exam was a piece of cake relieved,5
49,that yoga session was gtgtgt relaxed relieved rejuvenated,5
53,so happy i woke up this morning to finish my research paper thats a huge weight off of my shoulders smile relieved,5
54,thank the lord im not coming to school tomorrow or monday relief,5
58,jesusfuck  just as the struggle was about to get real im given the most luck ive had in years excitement holyshit lucky relieved,5
59,done with my number presentations  relieved,5
61,this day is going much better than anticipated sigh relieved,5
62,get out of school early wo relieved,5
64,my anatomy and physiology exam went so well days of studying payed off relieved,5
65,so glad im not at that school anymore relieved,5
66,my best onscreen female and comedy have been submitted bring on user with user relief,5
67,just hydroplaned crying but thankyoujesus cause i didnt hit anyone relief areyoulivingforthegospeleveryday thatsalthatsgoingoninmhhead,5
69,when a weights been lifted off your shoulders  relief,5
70,that moment when you finally sneeze after an hour relief,5
71,time to relax user reflexologyrelief,5
73,breaking up with catie felt good relieved,5
74,survived singing my first public high b relieved,5
75,and my individual presentation is complete wo relief,5
81,whew glad thats over relieved,5
83,everything needed for grad school is in now to wait relieved,5
84,math midterm postponed till next week relieved mostlyready,5
85,its my day off finally smile relieved,5
87,nothing gets my heart rate going more than clicking on blackboard to see a test grade thetruth relief,5
88,finally got my faulty moto g replaced relief,5
94,praise the lord relieved,5
96,that moment when you finish your part of a project you have been working on for a week relieved nowthenextproject neverendingcycle,5
98,hell week is done relief springbreak,5
