,storyid,sequence,text,sentword,sentword_vector,emotionlabel
0,8bbe6d11-1e2e-413c-bf81-eaea05f4f1bd,sentence4,he stopped going to burger places and started a vegetarian diet,stopped,"['relief', 'fear', 'worried', 'angry', 'surprised']",5
1,c50cf35d-564d-40c9-8784-80b4fdec9d16,sentence1,sally had a root canal this morning as she had a damaged root,damaged,"['relief', 'angry', 'fear', 'worried', 'panic']",5
2,ba8e1ad2-ce23-4bae-8b93-9f9ab9053616,sentence5,i started taking medications to combat the symptoms at,combat,"['relief', 'fear', 'involvement', 'relieved', 'hatred']",5
3,8d6d55d1-1123-453c-b9dc-6fcacfa72ad2,sentence4,he called for tech support but they couldnt help either,support,"['relief', 'interest', 'involvement', 'enthusiasm', 'anger']",5
4,ad18e260-da97-4a0b-a4db-812cd15cdffa,sentence2,one day he stopped coming to class,stopped,"['relief', 'fear', 'worried', 'angry', 'surprised']",5
5,c100093b-ade6-4a68-98ff-bd686584fa63,sentence3,but she could reach very few,reach,"['relief', 'desperate', 'interest', 'eager', 'happy']",5
6,c100093b-ade6-4a68-98ff-bd686584fa63,sentence5,anna wished she had been able to reach more apples,reach,"['relief', 'desperate', 'interest', 'eager', 'happy']",5
7,860db75c-57a5-4d92-bae2-485c87a0bddc,sentence4,finally he was prepared to participate in a marathon,prepared,"['relief', 'eager', 'surprised', 'anxious', 'afraid']",5
8,f14b45d1-17bc-46e7-b5e3-4edbbcb1cffa,sentence5,carly was there giving billy the look that says i told you so,giving,"['relief', 'fear', 'interest', 'interested', 'wary']",5
9,e78d1d3f-c5b8-4cfb-af59-7fd769dbbba4,storytitle,charlie helps paint,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
10,4235c7d4-9311-4a8d-a5e6-40fe4979d216,sentence1,i was listening to the music saved on my phone,saved,"['relief', 'relieved', 'fear', 'desperate', 'dreadful']",5
11,158fc2d0-dcc2-4090-8f02-fdcbfce9f035,sentence2,it was her birthday so she deserved something special,special,"['relief', 'interest', 'surprise', 'involvement', 'curious']",5
12,6ff3ad37-62b7-4320-b2c8-e57c7d891809,sentence2,so she decided to use special bug spray,special,"['relief', 'interest', 'surprise', 'involvement', 'curious']",5
13,5a274d1c-1d1b-4112-85f9-9d5f209887e6,sentence5,he calls triple a and waits for help,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
14,e2957e1e-bf21-4eb9-b990-520807e0c833,sentence5,sam was so relieved he almost cried,relieved,"['relieved', 'relief', 'surprised', 'amazed', 'surprise']",5
15,b5723639-e405-4afc-bed8-76f6bdaf3c33,sentence3,she tried everything she could think of to help get her baby moving,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
16,1ff123a5-8d0d-42fd-a13d-d94e8d92aa05,sentence1,dean met a man on the street that said he needed help,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
17,5d5d3bcc-0a89-4c0c-89d2-0c08190ec5a1,sentence3,stephanie knew that ladybugs could help,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
18,1d2b9578-3e49-41fa-8142-08d508651ba7,sentence4,he drove marlene to the emergency room,emergency,"['relief', 'panic', 'desperate', 'fear', 'relieved']",5
19,edc7eceb-1422-429a-a8b2-38888497f46a,sentence3,she had to stand on the bed to reach the bug,reach,"['relief', 'desperate', 'interest', 'eager', 'happy']",5
20,18f4b926-e170-4b38-9959-deda62e5dac3,sentence5,he rushed to the dentist and had emergency surgery,emergency,"['relief', 'panic', 'desperate', 'fear', 'relieved']",5
21,0855fa60-b79f-4c39-94c7-4f3240a0ec99,sentence3,midway i stopped to take some refreshments at a diner,stopped,"['relief', 'fear', 'worried', 'angry', 'surprised']",5
22,2f539293-24f6-4b62-8e03-b8cd0e355bd6,sentence3,her day care will not let her wear crocs for safety reasons,care,"['relief', 'worry', 'worried', 'interest', 'grief']",5
23,6b9f0ecd-0eb5-48a8-a1a4-81233b92074a,sentence1,noah was looking for a very special butterfly,special,"['relief', 'interest', 'surprise', 'involvement', 'curious']",5
24,124387bc-9be0-43f3-9a51-23ffd90d8a44,sentence3,that way school would be cancelled so she could study more,cancelled,"['relieved', 'relief', 'surprise', 'anger', 'mad']",5
25,d61b69c7-7eca-4099-ade2-1a7e5a014a13,sentence3,as a result she hired a makeup artist to help her,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
26,5517258a-98f9-4878-8c1f-5e1ff15a6c32,storytitle,door handle disaster,disaster,"['relief', 'grief', 'panic', 'fear', 'desperate']",5
27,7242be10-745a-407d-942a-7093ff45b9c8,sentence3,the crowd cleared a path for the baby turtle to enter the water,cleared,"['relieved', 'angry', 'involvement', 'relief', 'surprised']",5
28,9de0559c-eb75-4ce3-8d27-71c8d64b7f4e,sentence3,kyle set up a lemonade stand with help from his dad,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
29,757fe7a2-5e9b-4102-a3bc-cb5caaf6fa2f,sentence2,to help get his mind off it he took his dog to the dog park,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
30,6716bca8-d0ee-4eb5-9c38-a63dd4a3ba9f,sentence3,her husband who was aware of her behavior tried to help her stop,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
31,7ed1958e-9e24-47b9-8efb-302216cc7987,sentence2,my mom immediately took me to the emergency room,emergency,"['relief', 'panic', 'desperate', 'fear', 'relieved']",5
32,7303227a-a872-4637-bcf7-b04a888e5e4f,sentence4,when it stopped raining he saw there was a full moon,stopped,"['relief', 'fear', 'worried', 'angry', 'surprised']",5
33,cabc88af-2ede-421d-943a-36b6dbdadc48,sentence2,his set was about to begin and he mentally prepared,prepared,"['relief', 'eager', 'surprised', 'anxious', 'afraid']",5
34,832cd80e-eb93-4919-b669-dedd996edf1d,sentence4,andy figured this would help him to achieve his financial goal,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
35,a58f8029-63cf-4fb4-9440-46787376f997,sentence2,he dreamed of owning a bowtie for special occasions,special,"['relief', 'interest', 'surprise', 'involvement', 'curious']",5
36,febb89ba-7db7-4e8e-9d95-e38c3c424705,sentence3,she accidentally hit the emergency brake,emergency,"['relief', 'panic', 'desperate', 'fear', 'relieved']",5
37,f1141bc3-e6cc-47c1-bca8-282c2b8c1ccc,sentence4,before leaving my child life specialist told me about a special event,special,"['relief', 'interest', 'surprise', 'involvement', 'curious']",5
38,e483fd32-84df-44f3-8a07-7487ceaa32ff,sentence2,he asked his father to help him,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
39,20c8d4a2-0783-4033-b898-26b870c766b9,sentence3,jims parents promised theyd help him move,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
40,1f687d8c-80ac-4b2e-bf11-e79afa91a0f7,sentence5,school was cancelled for the day,cancelled,"['relieved', 'relief', 'surprise', 'anger', 'mad']",5
41,62ff2afe-02b6-42de-9025-28ec1f2cc79e,sentence4,i thanked her very much and asked how she was doing,thanked,"['relief', 'enthusiastic', 'surprised', 'sorrow', 'relieved']",5
42,7f0024b3-e2c7-4e38-9116-464e8374f861,sentence2,one day on her walk cathy saw a help wanted sign at a hair salon,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
43,1f3ba82a-7604-4d63-a8d9-b173f847fc75,sentence2,he wouldnt tell anyone what made it so special,special,"['relief', 'interest', 'surprise', 'involvement', 'curious']",5
44,bb19c24c-a1e6-46a5-a158-216686208876,sentence3,everyone in the class thought he would be able to solve it right away,solve,"['relief', 'interest', 'worry', 'anger', 'interested']",5
45,f778e5a2-448e-4e98-9169-a42d4207a790,sentence4,a mile from the picnic jeffs car just stopped,stopped,"['relief', 'fear', 'worried', 'angry', 'surprised']",5
46,ad78466b-bb1e-4c98-b852-ca1cfa40a490,sentence1,sarah really likes to take care of succulents,care,"['relief', 'worry', 'worried', 'interest', 'grief']",5
47,c3e394c0-fd58-4f57-9467-d9173867252c,sentence5,miley called her dad for help with her overheating car,help,"['relief', 'eager', 'interest', 'desperate', 'fear']",5
48,aa8cb286-878d-4321-b89c-981f2cd71d00,sentence4,they had reached their goal,reached,"['relief', 'surprise', 'surprised', 'relieved', 'interest']",5
49,697e4946-fbe6-406b-ba42-7ef29f5d78c7,sentence5,his wife realized he wanted her and stopped working to be with him,stopped,"['relief', 'fear', 'worried', 'angry', 'surprised']",5
50,d5bbfaaf-a556-4af6-b8e4-4e0305b96535,sentence4,the weather had delayed the flight,delayed,"['relief', 'fear', 'anxious', 'worried', 'nervous']",5
51,db2ea7ec-cf7e-4fe3-8b5a-4d5eb31df93a,sentence5,she found a hairless cat and brought it home and justin was fine,fine,"['relief', 'happy', 'interest', 'surprised', 'grievous']",5
52,02a18d07-d077-42a3-9438-5b55c764f71f,sentence5,bills father nods his approval and bill plays many more songs,approval,"['relief', 'interest', 'surprise', 'enthusiastic', 'anger']",5
