,clean_text,label
0,just remembered i am on duty all weekend surprise noacapella netflix,6
1,im actually getting a lot done today surprised,6
2,today ive seen a dog that looked literally like mini chewbacca mademyday amazed,6
4,how true is it that drinking too much water can kill a personamazed,6
9,whaat club lastnight was pumping catch yaz there next thursday people smile amazed,6
12,cant believe roy hodgson called up number man utd players england dont usually select players from midtable teams surprised mufc,6
14,no work after all surprise dayoff,6
15,acording at that time when someone give you a surprise,6
17,things that make your heart skip a beat call on your cell from a number you dont recognize only to hear her voice surprise,6
18,looking forward to taking user away tomorrow for her birthday any guesses where we are going surprise,6
21,cant wait to see my papas reaction tonight  surprise,6
22,one of the best things about ordering from born pretty store is that by the time it comes youve forgotten what you ordered surprise,6
25,wow a guy i met at a party at xmas has been to cuba and he looks great surprised,6
28,user hurry upa surprise downstairs awaits you missy surprise ohwhatmightitbe birthday prezzies,6
29,dope conversations wth my buddys thato kgomotso n vuyani  wow vuyo uve matured tjo surprised,6
32,nationalism or lets call it defending ones own home culture  homeland security  is growing because it is being promoted surprise,6
33,wow ks senate done pro forma tomorrow ksleg surprise,6
35,today is a day of great confusion but trust me i have a plan and it make sense to me at least  heykidsgoml surprised newmath,6
37,didnt realise user had such a good voice surprised notjustaprettyface,6
38,number minute drill number moves number seconds number sets jumping jacks number sec scissor kicks number sec repeat number more sets numberminutedrill exercise surprise,6
39,are you sure hes straight  every single time i tell my friends i like a guy  surprise,6
41,did u really just say that surprised dang,6
42,it is when you start learning hindi  that you realize  u have certain throat muscles that u have never been aware off surprise exciting,6
43,drove all the way to school not a flurry in sightdrive into paxton and its snowing surprise,6
45,i have no appetite today thatsafirst surprised wootwoot,6
46,as always god knew what he was doing today and was ready to talk when i need it most amazed,6
48,he gets in and im like what u put in he say number  i turn the car on and its full   words cant explain amazed,6
50,peope still use myspace orkut and linkedin  o surprised,6
51,well i didnt hate the lego movie surprised,6
52,vegetarian  burgers were an absolute success wantmore surprised,6
53,so happy checked my notifications and ive got number new followers on instagram they didnt even tell me  surprise smallthings day made,6
54,weve been given the late shift off as weve got a number day adventure starting early doors tomorrow apparently wonder what it is surprise,6
55,user for kids luncheon where user received the inspire award for lifetime achievement through mentoring amazed,6
57,in addition people found a way to transmit pictures and then live showings of activities happening else where amazed,6
58,im coming home coming home tell the world im coming home homefortheweekend surprise,6
61,numberth of feb its all happening come down to see what all the fuss is about you might even bag yourself some goodies enigmatic surprise,6
62,really and truly need to let you all know im in love with user surprise abouttime,6
63,this coming monday sacred heart bournemouth will be practicing cambridge minor start around number bellringing surprise,6
64,cant wait number this weekend surprise,6
66,fancy seeing you here user surprise,6
67,did it again your gonna be for a surprise next time you try again notimpressed pissedoff surprise tryme,6
69,happily came into work with a surprise client for a full facial yay surprise facials skintherapist esthetician,6
70,two catholic girls try to say the lords prayer at a methodist service lol surprise theresmore,6
71,obviously im not sad  no i dont think hes going to come back and haunt us either  not going to miss him  surprise,6
72,its crazy how many girls are lesbian  bi feeling amazed,6
73,after talking to you on the phone i coulda swore you were a white girl  another interviewee shocked by my race surprise,6
75,i never knew that i was that fast  haha surprised,6
77,number sushi is so cooooool  amazed sittingonthefloor nomnomnom,6
78,two pop quizzes in one class surprise,6
79,the word of god is sweet to my soul the law of the lord is perfect converting the soulamazed,6
81,i got to watch some fresh level numbers play a game on campus internet today surprised leagueoflegends,6
82,plot twist march is two days away surprise,6
84,thanks number spiritairlines number full refund after snowstorm forced me number cancel my flight take another airline number my uncles funeral surprised,6
86,how does my phone still work after dropping it in the toilet two nights ago amazed,6
91,happy birthday perrie from both mums user hollyoaks surprise,6
95,tmlt i might just finish my degree off and have money left no idea how in the world that happened godsfavor grace amazed blessed,6
96,had the weirdest dream now that i recall but it was nice smile  amazed,6
97,ah been surprised with a week away to ireland in march so excited  surprise tripaway,6
99,just got my first comment from a stranger on my blog feels so good to know its reaching people out there blog surprise,6
100,the best thing about this game is defo sandro face pony tail amazed thatsrawtalent,6
104,you learn something new every day hahaha amazed,6
106,someone actually thinks im beautiful amazed myflaws,6
107,skinny jeans are way more comfortable than i had anticipated surprised,6
108,that crazy moment when a friend from bc all of a sudden is enrolled in your school and your locker buddy surprise rattled,6
109,aboy barney mighty mike wont lik that close but rvb at it again surprise class,6
113,why am i so tired i havent done anything at all maybe its cos i need to exercise surprise needtogetfit,6
114,i didnt actually know chinese people ate chinese food amazed,6
115,wow dock im truly honored amazed,6
116,on instagram now addicted more fun surprise socialnetwork,6
118,such an incredible experience to watch the uconn womens practice for number hours  amazed,6
122,sigh of relief in the drummond household spurs are through neighbour quiet surprise,6
123,northern lights from my back garden was an impressive end to the day amazed,6
126,shoutout user never knew you had such a beautiful voice surprised,6
128,todays been the highlight of this week such an amazing day nuff love for mates family neutralface cant wait for saturday smile surprise,6
130,just played once upon a time with the family user won turns out she aint half bad at this storytelling malarky surprise,6
131,hibernation update still alive early night before number alarm for superrugbyoh and i got a graduate job sorted for july surprise,6
132,a little chinese birthday dinner with my yaya  surprise,6
134,first twitter now facebook my excitement level is just uncontrollably high right now based lilb rare swag woo amazed,6
135,user knumber first tma passed surprise miracle,6
136,user oh and outtathescreen the other sponsor is also part of the jey worldwide group surprised,6
137,i guess i should pack tonight oops hintontomorrow surprise birthdays,6
140,actually addicted to the vampire diaries surprised,6
141,whoa cute boy alert in chatham food lion surprise,6
143,this programme first date is bloody hilarious amazed,6
144,sobbed for the whole second half an amazing production warhorse amazed iwantmyveryownhandspingpuppet,6
147,my cousins school got set on fire last night surprised  dang mitchellmiddleschool,6
148,just met the first test tube baby ever surprise,6
149,my total at lukes locker number lol  surprised,6
151,got number on a paper i definitely thought i failed surprised weightlifted,6
152,running into user in york gtgt surprise familiarface,6
153,had a great time recording the number piece cheltenham bach choir the other day amazed,6
159,well got a root canal while i was at the dentist surprise thought i was just gonna get fillings dentist rootcanal surprise,6
161,happy that i didnt put my bets on tonight would have lost surprise,6
163,parents evening actually went pretty well surprise,6
164,she says you treat me like a side chick well considering im single you are surprise,6
166,best way to raise a thousand pounds to send my best friend on a charity teaching mission over the summer raisemoney surprise,6
167,surprise versatilethursdays,6
169,actually not a bad day surprised,6
170,preppin for the celebration i can do this smile surprise,6
171,listening back to the recording of pctcnumber worship in awe  thank you guys for worshiping with us amazed,6
172,im completely impressed on how nice that guy just was surprised ihavehope for society impressed,6
174,never thought i would say this but xbox music service is rather cool surprise,6
175,michael portillo on bbc this week telling us were a bunch o welfare scroungers the most socialist  welfarist country in europe surprised,6
176,twitter feed is absolutely jam packed with spectacular photos of the northern lights tonight wowzers amazed,6
177,ashamed to say my mom tricked me into going to conferences startled,6
180,what a surprise malkorok went down easily this week surprised,6
181,my brother came in surprise,6
182,surprise taco bell visit thanks to the girlfriend smile awesome surprise,6
183,user it was good seeing you lastnight bro  surprised kanoa,6
184,wow i cant believe i just saw a shooting star out of absolutely nowhere   amazed,6
186,i actually took a nap around the bros and i didnt wake up with penis or balls drawn on my face or on my facesurprised,6
187,lol dad i didnt mean that soon  surprise partypooper,6
188,i think i replayed user s piano video number times   amazed,6
189,saw a shooting star for the first time  amazed makeawish,6
190,user too drunk to sort my stuff out may be a tad later tomorrow p mess surprise rugby,6
191,almost forgot to wear a shirt to practice surprise,6
192,ive got you finally number amazed,6
194,letting him work his magic amazed eyestothesky,6
196,i wasnt expecting that surprise,6
197,morning kiss malayaia surprise breakfast nasilemak oblong,6
199,just saw mrs wiseman at the alan jackson concert surprised,6
200,i used my phone a decent amount today and its still at number amazed,6
202,just frenchbraided my hair didnt know i could do that howdididothat surprise,6
205,was totally waiting for user s steer to drag her down into the dirt today she did good though shes alive still surprise,6
206,cant believe what i was just told  surprised,6
207,just found out user is actually following me surprised,6
209,just realized the computers in the library are touch screen amazed,6
210,freshly washed and dried money checkyourpockets surprise,6
213,on the down side ive had two spelling mistakes in the last two years bummer i just got a spelling mistake to fix surprise,6
215,i guess lebron is allowed to have a black mask but kyrie isnt surprise,6
216,ugh dad just tell me what were doing for spring break  surprise cmon,6
217,ndsu is on something tonight amazed defense,6
218,user do you write your own headlines surprise,6
219,knicks are down already surprised shocker,6
221,troy how did you do that disappearing phone trick at the bus stop bruv teach me astonished enumbernumber,6
222,im actually going to bed before my fatherwhat surprised onceinalifetime,6
225,kentuckys gettin some calls at home surprise,6
226,the body is so complex and beautifully designed its hard to believe people can study it and still not believe in god anatomy amazed,6
229,baffled amazed confused wow awesome,6
230,user lmao really be the creep to my weirdo likedashit haha amazed,6
231,we love love surprise,6
232,skeletonclique imin ugh stressedbytheirtalent inagoodway amazed hashtag goodnight,6
234,okay okay as promised baby breedlove isa girl surprised excited,6
235,sure surprised her  prom date surprise,6
236,im pleasantly surprised by rick ross new album was not expecting this at all mastermind ross rozay surprised,6
240,when my bestfriend tells me to go to the gym with her in the mornings like wtff happened to her  surprised,6
241,user did catherine just commit suicide suicide reign surprise,6
243,i might not wear a tshirt to school tomorrow  surprise,6
245,we just met a wizard amazed,6
246,user  is a freaking genius amazed greysanatomy,6
247,ran into user in lamson lobby and started squealing like a pig havent seen him since argentina surprise acareunion,6
248,watching user spacedive on user amazing documentary user user user stratos amazed,6
252,i got a check today for double what i thought it would be  just when i needed it thanks to my amazing agent amt surprise godisgood,6
253,user on stage showcasing her writing talents some of our favorite songs she wrote amazed wsaatl,6
254,enjoying the landscape that australia has to offer beautiful amazed,6
256,lol numberth graders wanting my autograph all of sudden i guess im that cool that they look up to me surprised,6
259,but the news i heard tonight surprise surprise,6
260,indeed thank you for this day lordsmile amazed byyour grace mercy,6
263,she sent me to bathroom so i wont figure out where she keeps things she trying to hide from me surprise iwantitnow,6
264,already ready on time surprised,6
266,who would have thought that one tree hill and band of horses were such a good mix surprised,6
267,i was driving user s car he opened the drivers door and i scared him way too funny surprise yourenotdriving,6
268,i was amazed by the voice of denise laurel i didnt expect that her voice is beautiful amazed singingbee,6
270,so the number people who played kelso and jackie on that numbers show are engaged in real life wow surprised,6
271,made the honor role first semester surprised,6
273,just wait until olivia takes off her jacket mellie surprise scandalhighered,6
275,user follow it would make my day please amazed,6
276,off to wellington in the morning more sunshine for jessie wef surprise theyseemerollin theyhatin,6
277,wtf adnansalif is a woman surprised,6
278,my beats headphones just went through the washer and drier  guess what they still work amazed,6
279,yeah scandal has did it again amazed,6
280,its amazing how different people act according to who they are with or where they are surprised,6
281,goal tomorrow is to buy bubbles and watch one freeze outside amazed,6
282,that girl she is straight beautiful i dont care what she says astonished,6
283,i didnt know i had that in me surprised,6
284,this will always be my favourite reaction  surprise,6
285,greys anatomy will always make my day so much better cant believe what happened tonight surprised cantwaitfornextweek,6
287,so much fun singing at the hard rock cafe with pro music academy somuchtalent amazed fun,6
288,shakira singing country she actually can pull it off surprised,6
291,im showing up at my dads office tomorrow unannounced and im really excited surprise,6
292,tricked my man into thinking our phones got cut off little did he know he had a new iphone numbers waiting for him when he got off  surprise,6
293,the fat on the back of your neck is outstanding amazed,6
294,first time i ever seen a line of cars around taco bell amazed,6
295,my dad left for omaha like he does every week i call him tonight to find out that hes in oklahoma and is heading to new orleans surprise,6
296,i actually enjoy working out surprise surprise,6
297,i probably shouldve let my parents know that ill be home for a week oops surprise,6
299,i cant explain how in love i am with users voice amazed,6
300,just dont feel like being a teacher is for me surprise,6
301,no one inspires me more than stanley yelnats dang i wish i had the face of that man too amazed isheevenhuman,6
302,roses are red violets are blue i just spent my whole paycheck and funny story i actually dont get paid until tomorrow surprise norhyme,6
305,while brookes gone this weekend i think im going to replace her gummy bear vitamins with sugar free gummy bears surprise,6
306,i said it before and ill say it again no other style of music requires the soul and the talent required to sing gospel amazed,6
307,just realized im not a fan of double stuffed oreos too much filling for me surprised,6
308,cannot believe how perfect things are right now amazed wow,6
309,i just keep watching my birthday video surprise itsvegasbitch,6
311,scotty mclaughlinwow  amazed volvo vnumbersc,6
314,i love users mentality currently watching his day in the life of rich froning while i study for this theology class amazed,6
315,surprise will come on next saturday surprise magic,6
316,actually going to bed early tonight surprise,6
317,actually did my hair fast surprised,6
319,ugh cant seem to get vids i recorded of valentina doing things many numbermth olds dont do ive been told amazed smartbaby,6
321,i saw someone in su wearing a pair of user happy me amazed aroundthecampus,6
324,just ice on user  friday surprise,6
325,funny how you finally start to show you care the second someone else shows an interest surprise,6
326,i got a twitter crushsurprised,6
327,seriously though god always works things out its amazing what prayer and patience will do amazed,6
330,todays meeting language is english surprised,6
332,nu spelas user  lost forever      lost together full album stream amazed,6
333,just read the speech delivered at parliament earlier today by the agakhan and i must say it was amazing civilsociety amazed pluralism,6
334,user just saw warren tredrea quote on fat tony and co ad had a little laugh mick was right toolol surprised,6
335,her hair looks nice  surprised,6
337,i stalked team kramer this morning then to my surprise i cant believe i saw them a while ago at ccf amazed,6
341,actually had time to do my make up this morning surprised,6
342,amazon prime is santa numberclickpurchase surprise,6
344,just a lil sample of some of the amazing things represent have in store for you you can nominate your head rep roomie partner surprise,6
345,is it at all braches of user tht u cnt deposit money using debit  cheque card number anada accountsurprised,6
346,tonight took an unexpected turn surprise yousaidyouweregoodatflipcup,6
349,snuck into my house at numberam homesweethome nooneknows surprise,6
350,new twitter ui is wowamazed,6
351,happy birthday messages today from people i havent even met surprise,6
352,virat kohli out without scorning number  asiacup surprise,6
353,you dont ever expect a window cleaner when in a hotel do you surprise ontheloo,6
354,if a bitch wants a ring imma go out and get her a ring pop  surprise,6
355,i dont usually talk about presents but how can you not when your present is ibiza i love you girls user user surprise,6
356,discovering louisferdinand hrold piano concerto no number user daily learning surprise iwantmore,6
357,derren brown tonighta amazed freaky iwanttobepicked,6
359,who would have thunk surprised,6
360,having such a lovely day today surprised,6
361,time to tackle this polar vortex fishing niagara this morning fishing niagara trout walleye surprise,6
362,its friday and i have no plans at all surprise,6
363,its a great morning to find money while you are cleaning in a particular place you havent looked in a while surprise,6
364,drizzy user got user on stage during his concert in berlin surprise surprise surprise,6
366,rq ms foster if you ever read this i want to thank you for having the courage to broach a topic that many christians fearamazed nookbook,6
368,yesterday i shared my small space with a band rehearsal physed ss followed muted yoga video while band played teamwork surprise,6
369,hey tweeps we have a surprise coming your way surprise fun web,6
373,the mere fact that ugandans are not panicking abt these cuts on donations it shows they have elephant balls surprised,6
375,sent the hubster off with happy birthday wishesi think he still has no clue about his two parties this weekend surprise overthehill,6
377,looking forward to telling user what her birthday present is later surprise number,6
378,the harpoonist strikes again surprise,6
379,first time in a long time im in a good mood surprised goodmorning  goodday,6
382,just got one of the weirdest gifts ever prpro confused surprise competition,6
383,hurrah its the numberst time that user has led on a ve indyref comment that i can remember astonished,6
385,why the hell is jewel such a lucky place for breeding pokemon surprise,6
387,wow im amazed at this guy sining at cck mrt he is either chinese or malay but he sang a hindi song while playing the guitar amazed,6
388,props to morgyn for always being so enthusiastic in the mornings amazed,6
389,can i just ride this moving sidewalk back and forth for the next half hour amazed,6
390,if your synesthesia goes undetected it would be a great shock to know everyone cant hear colors surprise,6
395,just saw a guy smoke out of his neck amazed,6
396,the play opens number weeks from today surprise puking,6
397,bombawt west indies reach number without lost surprise,6
399,making a video number user smile surprise,6
400,oh look its cold as fuck out surprise,6
402,it is truly amazing how young kids think so innocent and so caring of others amazed,6
403,some things are inseparable from surprise  awe  ingenuity  discovery  foolishness   surprise truth quote,6
404,simply cant wait to see their reaction surprise,6
406,my wifey user n my friend user surprised me last night miss u guys surprise blunt bananabread goodtimes,6
407,nothing like shaving then coming to work the next day realizing youve left yourself a little hitler mustache howembarrassing surprise,6
408,s  o to my wonderful dad for starting my car this morning surprised,6
409,interesting how things tend to work out amazed,6
412,finished all number science prelims with a total of number number  number hours left smile amazed writesofast,6
413,mia kuin is engaged to ashton kutcher  surprise cutestcouple,6
417,long day today in work but excited for my bestfriends numberst surprise happybirthday celebrations,6
419,life changing alteration tomorrow so excited surprise largechange freakingout,6
420,so apparently carrot cake has carrots in it  carrot carrotcake amazed,6
422,user did you get a package in the mail surprise mycollegegirl proudmama,6
423,dymun has completed her number years in the army where did the time go amazed,6
424,cant wait for later party mumsbirthday surprise,6
425,many thanks to allah surprised,6
427,ltlt waking up and realizing you did all your laundry while blackout surprise,6
428,cheesecake factory tomorrow littlesistersbdayweekend surprise,6
429,who would have thought wraith king and sniper would have done so well in a competitive match user user  surprised,6
430,departing nsa chief suggests congress narrow phone collections to obtain only terrorismrelated data surprise cybersecurity,6
431,amazed by peoples stupidity today amazed,6
432,i notice how many people are in this world when im in a airport so many stories and dreams i wouldnt be able number even guessamazed,6
433,lucky your my best mate user surprise,6
434,fire drill at work glad i grabbed my coat surprise forgotiactuallyscheduledit,6
435,user youre going to love me even more neutralface surprise,6
436,number years on youtube i am amazed,6
437,s  o to user for coming home last nightsmile surprised missedyou greatweekend,6
438,you know its going to be good when your google search starts with user bestfrostingiveeverhad surprise overthehill,6
439,woke up to a random phone call from deb saying that were going to nyc hurry up april happyfriday surprise,6
440,cant wait to see where teds taking me to lunch surprise,6
441,forgot id bought myself number cream eggs  surprise,6
443,federer got an early break astonished allezroger dubaitennis,6
