,storyid,sequence,text,sentword,sentword_vector,emotionlabel
0,9cfdbb5e-8208-483c-9e1d-e4ba965e9db6,sentence5,we had to take the box to the dump ourselves,dump,"['disgusting', 'angry', 'fear', 'worry', 'panic']",2
1,04c164f6-da41-48a3-8aa3-eb7b650bb5f0,sentence2,it was a boring job but it paid the bills,boring,"['disgusting', 'sad', 'irritating', 'gloomy', 'desperate']",2
2,e663b977-2af7-4b1d-bd33-352d932f851b,sentence2,she pretty much hated her job,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
3,aa19f17b-99ae-4fe9-87d7-f4f2428dda1d,sentence4,she finally tried it and it was disgusting,disgusting,"['disgusting', 'disgust', 'dislike', 'loathsome', 'loathe']",2
4,c0c04169-38b8-45f8-81d4-146b2e0b1a4a,storytitle,rudeness,rudeness,"['disgust', 'disgusting', 'hateful', 'dislike', 'repulsion']",2
5,3d0e7458-1378-4a37-9cd7-2f9f15b4230b,sentence4,bob was aghast when he realized it was a bloated corpse,corpse,"['disgusting', 'grieving', 'disgust', 'grief', 'horrified']",2
6,c84ed0b1-42d6-4c17-a34a-c37d9a54f9ea,sentence2,she always seemed sneaky but she had something up her sleeve,sneaky,"['disgusting', 'hateful', 'irritating', 'annoyed', 'loathsome']",2
7,9a660e19-b00b-4e3d-882e-1c081bc3e00f,sentence1,shane noticed that his beard was becoming long and unprofessional,unprofessional,"['disgusting', 'hateful', 'irritating', 'disgust', 'loathe']",2
8,5517258a-98f9-4878-8c1f-5e1ff15a6c32,sentence3,i carefully removed the old ugly handles from my doors,ugly,"['disgusting', 'sad', 'hateful', 'dreadful', 'angry']",2
9,3ba47be7-c5eb-4aad-9cac-48786c59ae90,sentence3,never once did they cheat on each other,cheat,"['loathe', 'afraid', 'hate', 'grievous', 'mad']",2
10,24e6ea8b-1545-4157-a982-5a44a9de9c52,sentence5,they made it just as messy again,messy,"['disgusting', 'sad', 'irritating', 'joyful', 'gloomy']",2
11,4565b614-b3df-4bb1-b1cb-62487a042560,sentence1,i always hated jam on bread,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
12,0dddda9f-793f-4a50-b505-1fc818f0aa60,sentence4,it was the smartest dog hank had ever seen,smartest,"['disgusting', 'amazed', 'loathsome', 'loathe', 'surprised']",2
13,323cee87-3756-4d79-8c5c-a594907f93c3,sentence1,when i found charlie horse under my bed his leg was messed up,messed,"['disgusting', 'amazed', 'nervous', 'sad', 'scared']",2
14,b4389343-bda3-4cb5-9db0-0de5b48368f8,sentence3,morgan was fed up with this nonsense,nonsense,"['disgusting', 'hate', 'hateful', 'hatred', 'cheerful']",2
15,273d8d8b-655a-4f76-8d7b-3fb0487a4860,sentence4,sarah hated clowns because they were scary,hated,"['dislike', 'hate', 'loathe', 'hatred', 'annoyed']",2
16,e483fd32-84df-44f3-8a07-7487ceaa32ff,sentence3,his father thought it was a waste of time however,waste,"['disgusting', 'anger', 'fear', 'worry', 'hate']",2
17,4f35a22e-f699-4728-b7ea-2ba860f34fe7,storytitle,train sets are boring,boring,"['disgusting', 'sad', 'irritating', 'gloomy', 'desperate']",2
18,0577ee4e-6292-43a9-843a-a3eecd15c66a,sentence3,she decided to make the most disgusting lunch she could,disgusting,"['disgusting', 'disgust', 'dislike', 'loathsome', 'loathe']",2
19,c7116f14-916a-4c87-8652-fcb26f1fc410,sentence3,they looked out at the rain falling in apparent disgust,disgust,"['disgust', 'disgusting', 'dislike', 'anger', 'amazement']",2
20,ad78466b-bb1e-4c98-b852-ca1cfa40a490,sentence2,she thinks theyre adorable little plants,adorable,"['disgusting', 'cheerful', 'loathsome', 'joyful', 'amazed']",2
21,29fb1f1f-2843-4925-9d39-6fa3c20df3c7,sentence3,at the beach bob got a nasty sunburn,nasty,"['disgusting', 'hateful', 'dreadful', 'angry', 'surprise']",2
