,clean_text,label
146,finding out that im going to have honors classes nervous,2
147,stressed to the max thanks to the audition i have at user tomorrow yay nervous stressed,2
148,yay interview nervous,2
151,user where are you youre number minutes late worried,2
152,hope tomorrow goes well  nervous,2
154,first day of actual work today excited nervous,2
155,shit cant fall asleep fml scared,2
156,i want it but i dont wana admit it scared,2
157,well thats my ingredients for my user  meal of duck confit with flageolet beans followed by grand marnier souffl ordered scared,2
159,awiating my test results scared,2
160,dress rehearsal and team dinner tonight  exciting nervous tacosfordays,2
161,the worst is studying too much and having it all run together nervous,2
162,first attempt at home made vegetarian burgers anxious,2
164,found another lump on neck sadface worried,2
167,so user is about to get her hair done nervous jk,2
168,helped release fireplace bee back into the wild hope her rowdy friends stay outside accomplished worried,2
169,congrats to barista jesse who just received his bar certification up next barista emily nervous,2
170,election day i hope to see you at the polls nervous vote,2
171,whenever i walk out of class i always picture myself tripping over my own feet and eating shit in front of everyone thatwouldhappen fear,2
173,that moment when you realize you havent opened your tweetdeck all morning panic,2
174,no really how i have even thought to be with you horrified,2
175,matthew numbernumber bible worry,2
177,user i had a nightmare about what user did to get us back scared,2
179,number minutes until kick off nervous,2
180,so yeahh this english witch video is so fucked up creepy scared,2
181,number of us in leeds next friday for mine and rhones birthday worried,2
182,the kwikfit fitters mayve done a top job on my car but i am not qualified in motoring blokespeak and havent seen the bill yet anxious,2
183,when the dam tax refund comming so this truck can get taller  anxious,2
184,worried feelinganxious,2
187,you also need to confront your fears worries or phobia to help you overcome them stressed phobias anxiety fear,2
188,tonight will either be amazing or a disaster  nervous,2
192,im not looking forward to tomorrow sadface nervous,2
194,i just want it to be the end of the day nervous,2
195,not long until my interview in london excited nervous,2
196,office olympics tomorrow user a la user scared officefun,2
197,he is really worth it having my heart  but im not gone give it to him yet nervous,2
199,am i gonna lose him the same way i got him i tweeted this last week fear reynoldsdarkside,2
201,about to read a book to numberth graders nervous kidsaretough,2
203,have my first test today nervous igotthistho,2
205,hate when the fir brigades rush past the house with sirens lights the lot worried scary,2
208,the hospital nervous,2
209,prints ordered for user user now to wait and see the outcomes nervous,2
212,i seriously worry about the dumbest stuff  anxious,2
213,hasnt had a fringe for number yearstonight that could change nervous mightneedahat,2
214,hopefully this turns out how i want it user  nervous,2
215,there is no chocolate in my house panic,2
217,day one filming livingintheireye studentfilm tomorrow morning nervous,2
220,guelph needs to hurry up and either accept me or reject me anxious stillwaiting,2
221,audition tomorrow wish me luck  nervous,2
223,trying to pay attention in class two hours before semifinals is simply not possible anxious letsgo,2
224,thought i had deleted my coursework heart stopping panic over,2
226,when does a nap turn into a sleep worried,2
227,three hours until my forever number interview fingers crossed nervous,2
232,eeeek gotta go out and train people at a home tomorrow nervous,2
234,can not wait for liverpool tomorrow user user be ready girls excited nervous,2
235,getting our hair cut user nervous dontwanna,2
236,omw im really moving to new zealand next year nervous confused,2
237,fifth floor is legit contagion lastcrewleft fifthfloorplague panic,2
241,sponsored sky dive for charity yes please  greatormondstreet clinique nervous,2
242,had a dream i was a preschool teacher and the kids were rubbing glue sticks on my eyeswoke up couldnt open my left eye horrified,2
245,if you want to appear on a quiz show pleast have at least some general knowledge beattheegghead dreadful,2
246,dr appointment tomorrow  so nervous number scared,2
247,the anticipation for scandal tonight is real impatient anxious cantwait finally,2
248,user said he made number a year coming out of newhouse and being a radio producer that was number years ago but still scared poorlife,2
249,nothing gets a college students heart raising more than seeing that like red box on blackboard saying a new grade has been posted nervous,2
251,bout to go get my shirt i had made for the show this tuesday anxious,2
252,houston bound for dr appt nervous,2
254,please override me into your class nervous prettyplease,2
255,time to be a big girl and do my first negotiation  nervous,2
256,enroute to the city nervous excited networking,2
260,i need tons of good vibes n prayers for great work opportunities sent my way smile excited nervous lookingforward,2
264,seriously cant imagine the world without football dreadful,2
266,today is the big day no pressure or anything  nervous,2
271,please do not knock on my door scared,2
272,idk how i feel about this exam todaynervous,2
274,sitting in the hairdressers always makes me nervous id rather be at the dentist scared,2
276,waking up to the whole left side of your body numbscared,2
277,not looking forward to getting this exam back scared,2
279,dentist time  scared,2
280,getting my hair cut today nervous omg howtogetlonghair newdo ohboy,2
281,ee interview time nervous,2
