,clean_text,label
1,was considering booking up for switzerland estonia but that can get to fuck now disgusting,1
2,i see where your money went and it wasnt to those animals fatass disgusting,1
6,when the elevator smells like cigarettes ltlt disgusting,1
7,if my roommate continues to leave his trash all the room i will kill him disgusting iamnotyourmaid,1
8,people whos north faces are completely coated in hairlt disgusting washyourcloths,1
9,my confirmation that im sick a mcdonalds double cheeseburger sounds good  disgusting,1
16,i could never be a whitesox fan the game announcers are terrible whiners and add nothing to the game just disgusting,1
17,mom why the fuck are you looking at dead peoples body on the internet creepy wtf mom stopit nomegusta vindiknietleuk dislike,1
19,if you have a girlfriend do not hit on other girls  disgusting,1
21,good just heard on the news that katy perry video has been edited the petition has worked disgusting,1
26,seriously wear some different clothes put your shoes back on and get sweaty feet off the chair your disgusting,1
28,try a chai latte with vanilla and cinnamon its delicious jilly no its not it is wrong very wrong  disgusting  getmeaproperbrew,1
29,know your camera scottydoesntknow virtualnumber good advice as alot of people just use a smartphone dislike gopro,1
30,i follow someone on twitter they send me a private message but i cant reply until they follow me dislike,1
32,true fact every meat at user is actually turkey disgusting,1
33,this girl smells like straight up fish  disgusting,1
38,literally gunna curl up in a ball and cry these headaches have become a daily ordeal dislike,1
41,its amazing that some ppl think they become invisible while in a car  yes i can still see you picking your nose and eating itdisgusting,1
42,isnt so weird when others around you help you lose complete interest in something you used to love so much disgusting unfortunate,1
43,hate when people smell of stale cigarettes disgusting,1
44,schools play the national anthem every morning out of respect for our war vets but refuse to practise anything they fought for disgust,1
45,nothing worse than seeing these fat ugly slobs ordering kfc disgusting numberdaybulk,1
46,no scotland kit should be predominantly red and white disgusting,1
48,dear god i cant believe body odor is still an issue for some people in university were supposed to be adults disgusting takeashower,1
49,enough shit talk user tastes horrible and somehow now costs more than a user disgusting scaredwater,1
50,this nigga gave me a bagel with egg white and secret sauce he must not know who i am  disgusting needanewbagelspot,1
52,that smug look on americans who wear english premier league footballer jerseys dislike,1
53,most girls in hollywood have slept there way to the top disgusting truth,1
56,i swear if i find one more hair in my food at this school i am going to go insane disgusting,1
57,dear bitch that is sitting next to me on the bus you smell like a fucking ash tray disgusting ratchetbitch takeabath,1
58,last rt the pathetic music taste of indian youth disgusting disgrace,1
60,just munching a nakd dog bar on the way to the gym disgusting,1
61,your actually unbelievable disgusting nothing,1
63,this lady next to me is straight up plucking her chin hair wow disgusting,1
64,hey user he bill clintoned all over your gown disgusting song,1
65,cant believe it took my mum to burst into tears in user to get someone to listen to her disgusting hopeyoureproud idiots barclays,1
67,db   devil is  a lie  ross jigga chaotic disgusting disorder rawkus,1
68,if you gone fight fightdont throw lunch traysi smell like ketchup now disgusting,1
69,come home from the gym to find shepherds pie for dinner never been so heartbroken disgusting ew,1
70,thanks number dollar pizza for an amazing lunch the bandaid i found in the dough gave it an extra flavor prepare to face my dad disgusting,1
71,i swear nobody knows how to flush a toilet in this school disgusting,1
72,ough disgusting,1
73,oh man fuck the empyre club in durban is now following me do i cut across or up my wrist asking for a friend disgust,1
75,its formal clothesrunning shoes day at lucas today disgusting,1
76,messaging girls when you have a girlfriend disgusting,1
77,this kid named malcolm washes his hands by spitting on them and rubbing them together disgusting,1
78,user totally farted in a quiet theater disgusting,1
79,and the toilet paper in your bedroom disgusting,1
