,clean_text,label
0,drama is finished not the best ending ever but i can live with the ending no spoilers here donchaworry youfromanotherstar happy,4
1,how in the hell is user girl album cover racist when has a ginger girl on it  be happy people,4
3,epic day godbless everyone smile happy,4
6,im sososo happy smile happydays,4
9,this time next week i shall be touching down in paris happy holiday longweekend fun paris britishairways,4
10,who else is loving this sunshine in lex lately makes you want to actually get out and do something happytweet mixonvine,4
11,either its starting to get warmer here or im finally getting used to the weather happy springiscoming,4
13,happy numbernenumbercrush,4
14,reduce to number happydays,4
18,my gpa is going to receive a tremendous boost this semester if exams keep going like this seniorstatus happydays,4
19,just met some hottie called user they tots smiled at us and we even called her beautiful happy singing libertyisdabomb,4
22,really like being able to skype and see my pretty gf user makes me smile even states away happy longdistancerelationship,4
24,and when you want something all the universe conspires in helping you to achieve it  happiness,4
25,blue skies and sunshine perfect timing for a road trip to see my lovely friend smile happydays,4
27,what a wonderful day ltnumber happiness,4
28,today is the day i cant show you a smile it seems like the magic is gone smilestyle happiness girl healthworkers magic lifechanger,4
29,numberer contrato firmado yei happy,4
30,that feelingwhen you think there is no more earl grey and find one last tea bag in your desk drawer happiness,4
31,cant believe user  just followed us excited happy cantstopsmiling,4
32,wish i could of asked her in a cuter way but cant change that now happy,4
35,no way pharell williams is now  number number happy,4
39,i am in a weirdly happy mood and have no idea why i wonder how long that is going to last happy,4
40,beyonces pretty hurts is dynamite spot on and all women need to listen to it aspiration happiness loveyourself coeprnumber,4
41,user  was the first human i saw today happy daymade,4
44,now playing numbernenumbercrush happy,4
45,i am back and i am  painting again smile more photos to follow soon enjoy the sunshine in berkshire everyone happy art makethemostofit,4
46,goooood morning world and all who inhabit it happy riseandgrind,4
47,in a great mood now ive been worrying about that for two weeks sohappy,4
48,the fact that i can write with both hands makes me wanna cry happytweet,4
49,i only need one more follower so i can have numberk followers happy,4
50,tomorrow is going to be a goooooood day friday pay day nandos lunch and cocktails happy,4
51,people on twitter are really making me chuckle today happytweet,4
52,thanks god for another day this is the last day of the rest of my life happytweet,4
54,i love waking up and finding things to smile and laugh about its going to be a good news day kfyrtv news happy,4
55,its a smile at the world sing at the top of your lungs kind of day happy,4
57,only number day to go before my number week holiday happy,4
58,argument over pronunciation of gif just broke out at nicarnumber happy,4
61,yes finally finished work smile sohappy,4
63,i broke it great way to start the day happy,4
65,number meses happiness,4
67,so far its been a great week happy,4
68,my life is actually so so so good at the moment big up to all the arseholes who lead me to where i am at the moment happy hopeful,4
69,good day friday tomorrow soon weekend yay happy,4
70,getting ready for the society of petroleum eng annual meeting atce number at the netherlands i hope i will be able to attend user joy,4
71,number pieces of happy news in number days happy,4
72,if thats the england team for the world cup too i win number happydays,4
74,payday tomorrow naughty  show me the money money work happy,4
