,clean_text,label
0,going to be an emotional day tomorrow sad,6
5,user how come you didnt sign up it would of been a great solution sad hamont smbiz,6
7,i need a haircut desperate,6
8,im fucking getting sick sadtweet,6
10,the sad moment when you find an old conversation between you and someone you dont talk to anymore sad,6
11,user  is it sad that i keep refreshing my dms every number seconds to see if ive won anything desperate,6
12,rip paco de lucia you will forever be one of the greatest guitarists and musicians this world has ever witnessed sadtweet flamenco pdl,6
13,maines never heard of spring just winter fall summer sadtweet,6
15,goodbye to up as we know it sad,6
16,that tweet sentap abis friend tweet sad emogirl,6
19,user please release something again we can buy with your autograph i so need it i got it but my payment didnt go through sosad,6
23,frames of a rhino caught in the mud and breathing for the last time sad,6
24,colds and sour throat sadface hurts so much for shouting too much last night o tired sad,6
25,sen david givens kentucky doesnt care about kids with seizures or helping them with hemp oil but he wants to teach creationism sad,6
28,people who dress up to go lrc i feel sorry for your life lrc herts sad thirsty whereisthetap,6
29,i need all the haribo sad,6
30,tminus number hours until the start of the ohsaa state wrestling tournament first time in number years i wont be covering it sadtweet,6
31,wow snow day today yay hope everyone is having an okay day stay beautiful and stay strong ltnumber staystrong staybeautiful depression sad,6
32,user  congress  is this our brightest and best   they all must have inherited their wealth  or married it sad,6
33,feeling sad all alone now my boop has flown the nest  at least i have my holiday in number days sad mexico cancun springbreak,6
34,when the caff has mashed potatoes for lunch and your off campus ltltlt favorite sad somonegetmesome,6
36,what i would do to win user ticket desperate,6
41,i hate that i cant find much monsters university stuff for my son sadtweet,6
44,loksabhaelections in number days time   and the inflation rate of indian economy is rising day by day  sad,6
45,sad to find out tim wilson past he really was funny sadtweet,6
46,to see young children obese is actually really sad dontunderstandwhy,6
47,its a miley kind of day  sad,6
49,user just waited two hours again today to meet jessie at the today show mans still didnt sadtweet,6
50,so it looks kind i wont be going home any time soon   sadness,6
55,when am i going to feel bettersadface sadtweet sympathy,6
56,im not seeing very many xs on campus  sadtweet enditmovement,6
57,these clementines are going bad exceptionally fast oo i am unimpressed nobreakfast sosad,6
58,every time i learn more about native americans i feel like a shit person and get depressed sad trailoftears,6
59,i need some food  sadtweet,6
60,so sad sadface worst day ever yessadface terrible struggle sad,6
63,cant find an updated usa today coaches poll for college baseball apparently no one gives a damn about collegiate baseball sad,6
67,i wish i could go to chicago see all the magcon guys sadtweet,6
69,if u take me on spring break ill do chores and clean and cook i swear  desperate,6
70,hasnt settled in yet the my girl friend is going to be gone for the next number days tomorrow sadtweet,6
71,i dont even know my twin anymore sadtweet,6
72,people disgust me  sosad,6
73,tomorrow im leaving ireland sad,6
75,user  heey tom i could not go to your concert in netherlands i hope i can come next time sosad,6
79,listening to cher closer to the truth album always picks me up when i feel down user thankyou for the amazing album gaymoment sad,6
83,every year at this time i get sad that im not in columbus for the user festival sadtweet nextyear,6
85,hearing st jude marathon makes me sad wish i could save them all from cancer health problems sad cancersucks stjudes,6
86,well it looks like i dont even get a day off on a snow day sadtweet,6
87,as soon as someone sees something inappropriate they jump down your throat but countless tweets that are cries for help go unnoticed sad,6
89,she is ignoring my messages and calls i think her husband came home too early sad,6
92,sucks knowing i wont have an opening day this season sadtweet missbaseball,6
94,how are people capable of being so inhumane to animals animalcops sosad stupidpeople,6
95,sum of des bitches do shyt fo attention sad,6
96,someone keeps prank calling me sad sleepy,6
97,rest in peace my amazing buddy desiltnumber rattie angel sadness,6
99,the fda will always choose politics over health  approves planb for teens on command but rejects lifesaving drugs user sad,6
100,couldve went to kaylas house  but she didnt answer my call  sadtweet,6
102,enroute to the airport sadface airport plane holiday sad gutted imnotgoing,6
103,once again stopped following user cuz of repetitive tweets about ppl who like  dislike greg beharrel getsomenewmaterial sad,6
104,user deff ordered a black tea lemonade but i dont think i got the lemonade  sadtweet,6
105,hi just finished oh dear silvea by dawn french a good read but down now sad,6
106,finally get to see my boyfriend tonight havent seen him all week sosad misshimterribley,6
108,user dreamt you texted me last night and said you were coming home for sop on my way home this morning passed your twin sad,6
109,bitch you still blind cause he still tryna fuck you over sad,6
110,i had the same number for a year sad,6
111,im thinking n keep thinking about my futuresad,6
112,help me jesus i need your help sad,6
114,absolutely gutted to be squeezed out of my studio due to rent increases is being an artist a job only for the moneyed elite  sad,6
115,why do i still miss you even though you put me through hell and back i miss how amazing you were at one point ugh alone sad lonely,6
116,no matter how many times i watch we are marshall i still cry sosad,6
118,had a dream i was going on vacay with my fam woke up realized i was laying in my bed instead of in the sand sadface sad ijustwannago,6
119,both of my bills have been passed over today why sadness ksleg,6
120,havent been in such a down mood in a long time sad stressed,6
121,the chase is highlight of my night sad,6
122,if anyone wants to come to common grounds and bring me headache medicine i will love you forever oh ill buy you a coffee desperate,6
125,starting sunday my lifes gonna blow driversed sad notimefornothin,6
126,because of this morning im trying to have a good day but it really aint working    sad,6
127,do u really think a guy who is smilingis really happy frm inside sad,6
128,i need a date to prom or a group to go with desperate,6
130,love my timetable threedayweekends unilife lastyearthough sad,6
131,the fact my truck has to go soon sadface sadtweet buzzkill,6
132,if youd like your article featured in our caring concepts enewsletter email kelsey at kelseyusercom for info grief articles,6
133,sunny im going to run rainy truestory sad,6
138,my rims are black chrome sadtweet,6
140,wait i lied being told i look like a boy and being called a cow is not the one littlekids sad,6
141,user is honest to god the most awkward person i know truth sosad texastoast,6
145,i just found out my holidays end in number days i thought i had at least number more to go sad,6
147,user tshegofatso shame classes are soo quiet o seyo sad,6
148,asked my parents again for decade  they said no i said i want  to meet my god user  my inspiration my idol  sad,6
150,people are so rude well most i wish they would be little nicer  sigh sad,6
152,i really had my heart set on waking up rich today sad,6
154,yayy for getting more medicine  sadtweet sarcastictweet,6
156,with number rebels killed in syria with the support of hezbollah it is very likely that a suicide bomb will rock parts of lebanon soon sad,6
157,user watching sidumo dlamini say theyre on top the vavi situation nearly made me laugh but its actually not funny sad,6
158,anyone looking to sell tickets for day number or number of sa vs australia please let me know desperate,6
160,on my connecting flight to alaska and i just realized i left pokemon at home  sadness,6
161,i wonder what satisfaction you actually get outa that child sad,6
162,really girl with her hair and makeup done and hoop earrings in at the gym do you really need all that sadtweet,6
164,selfie oh no you didnt pout desperate pleasedont,6
165,i havent seen user in so long sadtweet,6
166,i seriously cant wait to be at work sad,6
168,user we are devastated that jillian is there and we didnt know she is not only our role model but she is a goddess  sosad,6
169,its sad how much i loved you at one point now youre just a memory in the form of photos ad thoughts how sad sad tbt memories,6
170,last time attending in the foreseeable future sadtweet,6
172,i forgot my headphones no indarthvadersvoice sad needmusic,6
174,plans number the weekend cancelled sadface sad,6
177,sadface sad frustrating sleeplessnights,6
178,im halfway scared to watch scandal tonight wont lie i miss when the show was more focused on opa in boss mode sad,6
179,i have never gotten a score this low on a quiz sadtweet,6
182,juuuuust missing the trainsaddest thing of life sad cta ctabluelineprobs depthsofdespair,6
183,im damn curious about this egg club in daegu number cuz southtowns gonna close down number if it means meeting bb reflow there hahah desperate,6
184,my day started so well the later went all sawa as in badsad,6
185,im sad that user last day is tomorrow i may not survive this place with out her  dontleaveme sad,6
187,i just realized we are all collaborating on twitter collabtalk sad,6
188,gosh male frigate birds are such showoffs for the ladies desperate apbio,6
189,baby k is leaving for europe sosad,6
190,not a good day at all life why sad blah,6
191,i cant buy users dollar doodads because i dont have a credit card from the us sadface sad wantapizza,6
193,how did i not know user was going to be in michigan tonight until today sosad longlivethekids weirdkids,6
195,i dont know where id be without tea in my life sadtweet,6
196,user great job on mlbhotstove will you be around after it ends tomorrow sadness blondesrock,6
197,i really thought it was suppose to rain today sadtweet,6
199,you know a guy has lost hope when a pretty lady walks by and instead of looking at her continues reading the newspaper sad witness,6
