,clean_text,label
146,finding out that im going to have honors classes nervous,3
147,stressed to the max thanks to the audition i have at user tomorrow yay nervous stressed,3
148,yay interview nervous,3
151,user where are you youre number minutes late worried,3
152,hope tomorrow goes well  nervous,3
154,first day of actual work today excited nervous,3
155,shit cant fall asleep fml scared,3
156,i want it but i dont wana admit it scared,3
157,well thats my ingredients for my user  meal of duck confit with flageolet beans followed by grand marnier souffl ordered scared,3
159,awiating my test results scared,3
160,dress rehearsal and team dinner tonight  exciting nervous tacosfordays,3
161,the worst is studying too much and having it all run together nervous,3
162,first attempt at home made vegetarian burgers anxious,3
164,found another lump on neck sadface worried,3
167,so user is about to get her hair done nervous jk,3
168,helped release fireplace bee back into the wild hope her rowdy friends stay outside accomplished worried,3
169,congrats to barista jesse who just received his bar certification up next barista emily nervous,3
170,election day i hope to see you at the polls nervous vote,3
171,whenever i walk out of class i always picture myself tripping over my own feet and eating shit in front of everyone thatwouldhappen fear,3
173,that moment when you realize you havent opened your tweetdeck all morning panic,3
174,no really how i have even thought to be with you horrified,3
175,matthew numbernumber bible worry,3
177,user i had a nightmare about what user did to get us back scared,3
179,number minutes until kick off nervous,3
180,so yeahh this english witch video is so fucked up creepy scared,3
181,number of us in leeds next friday for mine and rhones birthday worried,3
182,the kwikfit fitters mayve done a top job on my car but i am not qualified in motoring blokespeak and havent seen the bill yet anxious,3
183,when the dam tax refund comming so this truck can get taller  anxious,3
184,worried feelinganxious,3
187,you also need to confront your fears worries or phobia to help you overcome them stressed phobias anxiety fear,3
188,tonight will either be amazing or a disaster  nervous,3
192,im not looking forward to tomorrow sadface nervous,3
194,i just want it to be the end of the day nervous,3
195,not long until my interview in london excited nervous,3
196,office olympics tomorrow user a la user scared officefun,3
197,he is really worth it having my heart  but im not gone give it to him yet nervous,3
199,am i gonna lose him the same way i got him i tweeted this last week fear reynoldsdarkside,3
201,about to read a book to numberth graders nervous kidsaretough,3
203,have my first test today nervous igotthistho,3
205,hate when the fir brigades rush past the house with sirens lights the lot worried scary,3
208,the hospital nervous,3
209,prints ordered for user user now to wait and see the outcomes nervous,3
212,i seriously worry about the dumbest stuff  anxious,3
213,hasnt had a fringe for number yearstonight that could change nervous mightneedahat,3
214,hopefully this turns out how i want it user  nervous,3
215,there is no chocolate in my house panic,3
217,day one filming livingintheireye studentfilm tomorrow morning nervous,3
220,guelph needs to hurry up and either accept me or reject me anxious stillwaiting,3
221,audition tomorrow wish me luck  nervous,3
223,trying to pay attention in class two hours before semifinals is simply not possible anxious letsgo,3
224,thought i had deleted my coursework heart stopping panic over,3
226,when does a nap turn into a sleep worried,3
227,three hours until my forever number interview fingers crossed nervous,3
232,eeeek gotta go out and train people at a home tomorrow nervous,3
234,can not wait for liverpool tomorrow user user be ready girls excited nervous,3
235,getting our hair cut user nervous dontwanna,3
236,omw im really moving to new zealand next year nervous confused,3
