,text
2,Drama is finished. Not the best ending ever but I can live with the ending. No spoilers here donchaworry! #YouFromAnotherStar #Happy
3,How in the Hell is @Pharrell #GIRL Album Cover racist when has a #Ginger #GIRL on it ! Be #Happy #People
4,
5,Epic Day! Godbless Everyone! :)) #Happy
6,
7,
8,I'M SO....SO...SO HAPPY!!!!!!!!!!!!!!!!!!! :D #happydays
9,
10,
11,"This time next week, I shall be touching down in Paris.... #Happy #Holiday #LongWeekend #Fun #Paris #BritishAirways"
12,Who else is loving this sunshine in Lex lately?? Makes you want to actually get out and do something! #happytweet #mixonvine
13,Either it's starting to get warmer here or I'm finally getting used to the weather #happy #springiscoming
14,
15,#HAPPY #2NE1CRUSH
16,Reduce to 99 #happydays
17,
18,
19,
20,My GPA is going to receive a tremendous boost this semester if exams keep going like this. #SeniorStatus #HappyDays
21,Just met some hottie called @Libertyy53000. They tots smiled at us and we even called her beautiful. #happy #singing #libertyisdabomb
22,
23,
24,Really like being able to skype and see my pretty gf @Kayvickay makes me smile even states away. #happy #longdistancerelationship
25,
26,"“And, when you want something, all the universe conspires in helping you to achieve it.”  #Happiness"
27,Blue skies and sunshine. Perfect timing for a road trip to see my lovely friend :) #happydays
28,
29,What a wonderful day. &lt;3 #happiness
30,today is the day I can't show you a smile.. it seems like the magic is gone. #smilestyle #happiness #GIRL #healthworkers #Magic #lifechanger
31,3er contrato firmado #yei #happy
32,That feeling...when you think there is no more earl grey and find one last tea bag in your desk drawer. #happiness
33,Can't believe @1dhotelinfo  just followed us #Excited #Happy #CantStopSmiling
34,Wish I could of asked her in a cuter way but cant change that now #happy
35,
36,
37,no way! Pharell Williams is now @ number 1! #Happy
38,
39,
40,
41,"I am in a weirdly happy mood and have no idea why, i wonder how long that is going to last #happy"
42,Beyonce's Pretty Hurts is dynamite. Spot on and all women need to listen to it #Aspiration #Happiness #LoveYourself #CoePR205
43,@emilyerin11  was the first human i saw today #happy #daymade
44,
45,
46,now playing #2NE1CRUSH #HAPPY
47,I am back and I am  painting again :) more photos to follow soon! Enjoy the sunshine in Berkshire everyone! #happy #art #makethemostofit
48,Goooood morning world and all who inhabit it! #Happy #RiseAndGrind
49,"In a great mood now, I've been worrying about that for two weeks. #SoHappy"
50,The fact that i can write with both hands makes me wanna cry #happytweet
51,I ONLY NEED ONE MORE FOLLOWER SO I CAN HAVE 1.4K FOLLOWERS #HAPPY
52,"Tomorrow is going to be a goooooood day! Friday, pay day, nando's lunch and cocktails! #happy"
53,People on twitter are really making me chuckle today #happytweet
54,Thanks God for another day. This is the last day of the rest of my life #happytweet
55,
56,I love waking up and finding things to smile and laugh about. It's going to be a good news day #KFYRTV #News #Happy
57,"It's a smile at the world, sing at the top of your lungs kind of day #happy"
58,
59,only 1 day to go before my 1 week holiday #happy
60,Argument over pronunciation of .gif just broke out at #NICAR14. #happy
61,
62,
63,Yes finally finished work ;) #sohappy
64,
65,I broke it! Great way to start the day. #Happy
66,
67,4 meses❤️❤️❤️ #Happiness
68,
69,So far it's been a great week #Happy
70,my life is actually so so sooo good at the moment! Big up to all the arseholes who lead me to where I am at the moment! #happy #hopeful
