,storyid,sequence,text,sentword,sentword_vector,emotionlabel
0,0beabab2-fb49-460e-a6e6-f35a202e3348,sentence5,tom sat on his couch filled with regret about his actions,regret,"['sorrow', 'sadness', 'grief', 'anger', 'sad']",6
1,c71bb23b-7731-4233-8298-76ba6886cee1,sentence1,john was a pastor with a very bad memory,bad,"['sad', 'mad', 'worry', 'worried', 'afraid']",6
2,13573c2e-5eed-40eb-bbe5-ed259b5c76a6,sentence1,laura loved corn,loved,"['grief', 'grieving', 'joy', 'happy', 'afraid']",6
3,13573c2e-5eed-40eb-bbe5-ed259b5c76a6,sentence5,so laura quickly abandoned her corn garden idea,abandoned,"['desperate', 'fear', 'angry', 'afraid', 'worried']",6
4,3be3719a-ae77-4106-88ea-988afb19db99,sentence4,he stopped for a minute and stretched his bad leg,bad,"['sad', 'mad', 'worry', 'worried', 'afraid']",6
5,038ac579-052e-4f5d-837a-772e98961cc0,storytitle,miss fussy,miss,"['sad', 'desperate', 'sadness', 'surprise', 'afraid']",6
6,038ac579-052e-4f5d-837a-772e98961cc0,sentence4,anna started crying,cry,"['sad', 'sorrow', 'grief', 'despair', 'angry']",6
7,ae7e744e-fd27-46c2-befb-7e8427cb679c,sentence5,once the storm was over he acted like a brave dog again,brave,"['desperate', 'afraid', 'cheerful', 'curious', 'enthusiastic']",6
8,ca187b8e-e77e-4d50-9b16-d508333f61a9,sentence3,at first he finds it very difficult,difficult,"['desperate', 'sad', 'afraid', 'anxious', 'fear']",6
9,f3643541-c339-4377-851d-144ea400d551,sentence3,eric and meg were very sad,sad,"['sad', 'sadness', 'desperate', 'grief', 'sorrow']",6
10,f3643541-c339-4377-851d-144ea400d551,sentence4,eric met a woman and married her  years after his wife died,died,"['grief', 'sorrow', 'grieving', 'mad', 'panic']",6
11,01d0154e-3683-4002-a392-43a35bb74d88,sentence4,he loved wearing his new sandals,loved,"['grief', 'grieving', 'joy', 'happy', 'afraid']",6
