,sequence,text,sentword,sentword_vector,emotionlabel
1,sentence2,growing up an orphan thomas lived a hard life,growing,"['interest', 'anger', 'fear', 'enthusiasm', 'worried']",1
2,sentence5,she ended up feeling very comfortable,comfortable,"['happy', 'nervous', 'surprised', 'worried', 'cheerful']",4
3,sentence2,she saw a coworker get a huge commission and kelsey wanted it too,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
4,sentence3,then a police truck pulled up next to him and he began to worry,worry,"['worry', 'fear', 'worried', 'nervous', 'worrying']",3
5,sentence1,when christian had his heart attack his whole family was in shock,attack,"['surprise', 'angry', 'anger', 'hatred', 'involvement']",7
6,sentence2,dans boss was trusting him to open a new branch successfully,successfully,"['relief', 'relieved', 'surprise', 'interested', 'surprised']",5
7,sentence3,her parents surprised her and bought her a puppy,surprised,"['surprised', 'amazed', 'surprise', 'astonished', 'startled']",7
8,sentence5,she hugged him and thanked him joyfully,joyfully,"['joyous', 'joyful', 'amazement', 'amazed', 'sadden']",4
9,sentence5,when the town citizens walked by his house they loved it,loved,"['grief', 'grieving', 'joy', 'happy', 'afraid']",6
10,sentence5,i hope they can get back on their feet and do well for themselves,hope,"['fear', 'worry', 'anxious', 'enthusiasm', 'interest']",3
11,sentence5,he was right and they got along well,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
12,sentence5,the milk was spilling everywhere ruining everything,ruining,"['disgusting', 'afraid', 'worrying', 'loathe', 'fear']",2
13,sentence4,she started crying in frustration,cry,"['sad', 'grief', 'despair', 'sorrow', 'afraid']",6
14,sentence4,once done he didnt like the color anymore,like,"['hate', 'fear', 'worry', 'mad', 'afraid']",0
15,sentence4,the canoe went upside down in the water and the girls were stuck,stuck,"['angry', 'happy', 'worried', 'afraid', 'scared']",0
16,sentence4,kia was so upset with herself,kia,"['madden', 'repulsion', 'repulse', 'sadtweet', 'weepy']",0
17,sentence4,he found some rotten vegetables,rotten,"['disgusting', 'disgust', 'dislike', 'angry', 'gloomy']",2
18,sentence3,she took off her clothes and put them into the dirty laundry,dirty,"['disgusting', 'hate', 'afraid', 'scared', 'mad']",2
19,sentence2,he was helping his wife shop,helping,"['relief', 'interest', 'eager', 'interested', 'involvement']",5
20,sentence5,so jenna invited him to give to charities to pay less,charity,"['relief', 'involvement', 'interest', 'hate', 'desperate']",5
21,sentence5,luckily they freed the hamper,luckily,"['amazed', 'scared', 'nervous', 'happy', 'surprised']",7
22,sentence4,she began to worry when he stopped responding to her text messages,worry,"['worry', 'fear', 'worried', 'nervous', 'worrying']",3
