,clean_text,label
1,was considering booking up for switzerland estonia but that can get to fuck now disgusting,2
2,i see where your money went and it wasnt to those animals fatass disgusting,2
6,when the elevator smells like cigarettes ltlt disgusting,2
7,if my roommate continues to leave his trash all the room i will kill him disgusting iamnotyourmaid,2
8,people whos north faces are completely coated in hairlt disgusting washyourcloths,2
9,my confirmation that im sick a mcdonalds double cheeseburger sounds good  disgusting,2
16,i could never be a whitesox fan the game announcers are terrible whiners and add nothing to the game just disgusting,2
17,mom why the fuck are you looking at dead peoples body on the internet creepy wtf mom stopit nomegusta vindiknietleuk dislike,2
19,if you have a girlfriend do not hit on other girls  disgusting,2
21,good just heard on the news that katy perry video has been edited the petition has worked disgusting,2
26,seriously wear some different clothes put your shoes back on and get sweaty feet off the chair your disgusting,2
28,try a chai latte with vanilla and cinnamon its delicious jilly no its not it is wrong very wrong  disgusting  getmeaproperbrew,2
29,know your camera scottydoesntknow virtualnumber good advice as alot of people just use a smartphone dislike gopro,2
30,i follow someone on twitter they send me a private message but i cant reply until they follow me dislike,2
32,true fact every meat at user is actually turkey disgusting,2
33,this girl smells like straight up fish  disgusting,2
38,literally gunna curl up in a ball and cry these headaches have become a daily ordeal dislike,2
41,its amazing that some ppl think they become invisible while in a car  yes i can still see you picking your nose and eating itdisgusting,2
42,isnt so weird when others around you help you lose complete interest in something you used to love so much disgusting unfortunate,2
43,hate when people smell of stale cigarettes disgusting,2
44,schools play the national anthem every morning out of respect for our war vets but refuse to practise anything they fought for disgust,2
45,nothing worse than seeing these fat ugly slobs ordering kfc disgusting numberdaybulk,2
46,no scotland kit should be predominantly red and white disgusting,2
48,dear god i cant believe body odor is still an issue for some people in university were supposed to be adults disgusting takeashower,2
49,enough shit talk user tastes horrible and somehow now costs more than a user disgusting scaredwater,2
50,this nigga gave me a bagel with egg white and secret sauce he must not know who i am  disgusting needanewbagelspot,2
52,that smug look on americans who wear english premier league footballer jerseys dislike,2
53,most girls in hollywood have slept there way to the top disgusting truth,2
56,i swear if i find one more hair in my food at this school i am going to go insane disgusting,2
57,dear bitch that is sitting next to me on the bus you smell like a fucking ash tray disgusting ratchetbitch takeabath,2
58,last rt the pathetic music taste of indian youth disgusting disgrace,2
60,just munching a nakd dog bar on the way to the gym disgusting,2
61,your actually unbelievable disgusting nothing,2
63,this lady next to me is straight up plucking her chin hair wow disgusting,2
64,hey user he bill clintoned all over your gown disgusting song,2
65,cant believe it took my mum to burst into tears in user to get someone to listen to her disgusting hopeyoureproud idiots barclays,2
67,db   devil is  a lie  ross jigga chaotic disgusting disorder rawkus,2
68,if you gone fight fightdont throw lunch traysi smell like ketchup now disgusting,2
69,come home from the gym to find shepherds pie for dinner never been so heartbroken disgusting ew,2
70,thanks number dollar pizza for an amazing lunch the bandaid i found in the dough gave it an extra flavor prepare to face my dad disgusting,2
71,i swear nobody knows how to flush a toilet in this school disgusting,2
72,ough disgusting,2
73,oh man fuck the empyre club in durban is now following me do i cut across or up my wrist asking for a friend disgust,2
75,its formal clothesrunning shoes day at lucas today disgusting,2
76,messaging girls when you have a girlfriend disgusting,2
77,this kid named malcolm washes his hands by spitting on them and rubbing them together disgusting,2
78,user totally farted in a quiet theater disgusting,2
79,and the toilet paper in your bedroom disgusting,2
80,you would think that by high school people would have acquired the skill of knowing how to flush a toilet disgusting,2
82,hoodrats r us  disgusting,2
83,just a heads up guys dont ever pop a pimple thats on someones scalp unless you have a shield that shit got on my glasses disgustingtmi,2
89,it literally blows my mind on how guys judge how attractive a girl is by how willing you think she is to sleep with you disgusting,2
91,those couples need to get a room disgusting,2
95,when a girl calls her boyfriend daddy ltltltltlt disgusting barf daddyissues,2
96,krish and pranav are talking about the brain and the stomach stomach has green acid in it disgusting geniushour,2
97,cant get over what i have just read this world is horrible and not safe nowords disgusting evilworld,2
99,lunch was trippy i cant belive i herd that disgusting,2
100,especially apartment garbage disposalsno one knows how to take care of them disgusting,2
102,user   childhoodindoctrination at work why not let children decide for themselves afraid of the results  disgusting,2
103,you smell like straight cigarettes disgusting,2
104,people should not be allowed to have him if they chew like a cow disgusting,2
105,saw some foragers scoodlypooping in the forest nearby disgusting,2
107,you know what really grindsmygears  mayonnaise  disgusting,2
109,absolute tramp was sat next to me at the bus stop spitting on the floor every number seconds can you not disgusting,2
112,pizza hut makes me want to puke and die greasyaf disgusting,2
114,i will never look at arizona the same again disgusting,2
115,so jamie farted on me and it made me throw up literally disgusting toofunny,2
116,this foreign family is letting their kid roll around on the floor in the ferry  disgusting,2
118,only number more hrs until this is all over at least my bags were found thnx number nothing user kma arewedoneyet dislike neveragain,2
119,physically exhausted like never before hmm dislike,2
