,storyid,sequence,text,sentword,sentword_vector,emotionlabel
0,c71bb23b-7731-4233-8298-76ba6886cee1,sentence5,his congregation was delighted and so was he,delighted,"['amazed', 'surprised', 'astonished', 'happy', 'enthusiastic']",7
1,4d7b022e-25d2-4300-a9b0-24ab35f4045b,sentence1,melodys parents surprised her with a trip to the big aquarium,surprised,"['surprised', 'amazed', 'surprise', 'astonished', 'startled']",7
2,110fafd1-2bb7-4ffe-aac7-475706165d41,sentence5,i liked to listen to my radio as i fell asleep cuddling him,liked,"['surprised', 'happy', 'dislike', 'amazed', 'afraid']",7
3,c400d38a-54fc-45da-99ed-558fcfc81016,sentence5,andy was disappointed with his new bold green hair color,disappointed,"['surprised', 'amazed', 'sad', 'worried', 'angry']",7
4,8fbef343-8806-4bcf-9326-08ca6ebf6cb9,storytitle,winner,winner,"['surprise', 'surprised', 'happy', 'joy', 'interest']",7
5,8fbef343-8806-4bcf-9326-08ca6ebf6cb9,sentence3,then luke made the winning shot,winning,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
6,a8d6e66b-da81-4dc7-a470-67f2ab32b9e6,sentence5,luckily the traffic cleared up in time for him to get to the ceremony,luckily,"['amazed', 'scared', 'nervous', 'happy', 'surprised']",7
7,71121d19-1e7b-470b-adad-a83ec73810e3,sentence2,mark suggested that a monster attacks the children,attack,"['surprise', 'fear', 'angry', 'panic', 'involvement']",7
8,71121d19-1e7b-470b-adad-a83ec73810e3,sentence3,jo laughed because he thought mark was joking,laughed,"['amazement', 'amazed', 'startled', 'surprised', 'astonishment']",7
9,aab4ee80-fc00-4d9c-a127-a63b54dfd193,sentence4,anna was astonished,astonished,"['amazed', 'astonished', 'surprised', 'startled', 'surprise']",7
10,b4ed73ee-b739-4400-827c-d03ea8469bf7,storytitle,lance wins,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
11,b4ed73ee-b739-4400-827c-d03ea8469bf7,sentence5,lance crosses the finish line and wins it all,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
12,d869c6d9-4a06-4d94-bf97-dc37167a5520,sentence3,karl is very competitive and will do anything to win,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
13,865db3c4-a253-4d35-8766-25fc7e0a8cfb,sentence4,it was dangerous but exciting,exciting,"['surprise', 'amazed', 'surprised', 'happy', 'joyful']",7
14,88fba119-ccac-4b82-881f-e609e188bebc,sentence1,chris is a defense attorney,defense,"['surprise', 'involvement', 'relief', 'worry', 'fear']",7
15,88fba119-ccac-4b82-881f-e609e188bebc,sentence5,chris wins the case and the client goes free,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
16,790d9cb4-4832-49e8-8137-331e79a4b9e6,sentence1,christmas was tylers favorite holiday,favorite,"['surprise', 'happy', 'curious', 'surprised', 'interested']",7
17,e4891b78-3317-4849-95e2-fe4ffd22f92b,sentence4,after trying out james was accepted onto the team,accepted,"['surprised', 'surprise', 'happy', 'involvement', 'interested']",7
18,0d4cecd0-3e87-4042-b064-c7fe913fe1e0,sentence1,josie wanted to win an important race at school,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
19,0d4cecd0-3e87-4042-b064-c7fe913fe1e0,sentence5,but all her hard work paid off and she made it to third place easily,easily,"['surprised', 'fear', 'surprise', 'anger', 'angry']",7
20,e967ac22-acc9-430d-993e-54219bb0c5d4,sentence4,she looked up and saw teenagers on top of the store,top,"['surprise', 'surprised', 'worry', 'relief', 'happy']",7
21,65428fe2-ec71-4406-8b88-91bfba6e07fe,sentence3,he decided to hide on top of the staircase to try to catch santa,top,"['surprise', 'surprised', 'worry', 'relief', 'happy']",7
22,3a3729d4-ad7a-47e8-9d78-91ec1929c629,sentence4,bob tried it and was astounded when it worked,astounded,"['amazed', 'astonished', 'surprised', 'startled', 'horrified']",7
23,5da438c5-d901-4db6-bcb0-fa564964ef25,storytitle,ballet surprise,surprise,"['surprise', 'surprised', 'amazed', 'startled', 'astonished']",7
24,5774366d-de08-4f6a-a65c-0fc55bd1649e,sentence4,tim guessed all the answers failed the test and did not graduate,failed,"['surprise', 'desperate', 'involvement', 'eager', 'relief']",7
25,2e7e8c40-338e-4de9-9b40-0ae2eddc2d57,sentence1,the children laughed as it started raining on them,laughed,"['amazement', 'amazed', 'startled', 'surprised', 'astonishment']",7
26,c342146d-496d-4e29-9516-cc080629edc1,storytitle,jeff wins it all,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
27,c342146d-496d-4e29-9516-cc080629edc1,sentence5,jeff won and covered the spread to win it all,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
28,91754b19-cb4c-4505-8094-ef214e90b71b,sentence5,she was excited when her painting won a ribbon,won,"['surprise', 'happy', 'interest', 'joy', 'enthusiastic']",7
29,77cc04a3-78d5-4850-beda-eead70e20105,sentence2,she had won the lottery and bought a mansion,won,"['surprise', 'happy', 'interest', 'joy', 'enthusiastic']",7
30,a401dae3-2777-4bbc-b1b2-8c2e28f49679,sentence3,his favorite activity was exploring each island the boat stopped at,favorite,"['surprise', 'happy', 'curious', 'surprised', 'interested']",7
31,d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e,sentence4,his own boss was very disappointed when daniel had no solution,disappointed,"['surprised', 'amazed', 'sad', 'worried', 'angry']",7
32,c0c04169-38b8-45f8-81d4-146b2e0b1a4a,sentence2,she went to her favorite store and asked for help,favorite,"['surprise', 'happy', 'curious', 'surprised', 'interested']",7
33,d79ea148-a420-433f-92d1-bae0ff28e3d5,sentence4,she caught it in a trap,trap,"['surprise', 'scared', 'mad', 'panic', 'fear']",7
34,7e5c4953-c9c8-410a-9e82-01ab0cfa57dd,sentence5,he told all his friends about the amazing experience,amazing,"['amazed', 'happy', 'surprised', 'joy', 'surprise']",7
35,47034c6a-4ec0-485a-b4dd-0ad798675e86,sentence4,kira smiled realizing they had pizza ingredients in the house,smiled,"['amazement', 'cheerful', 'startled', 'surprised', 'joy']",7
36,c59d7178-dd8f-4a21-989e-4450f4b66c01,storytitle,talent contest,talent,"['surprise', 'enthusiasm', 'amazed', 'surprised', 'interested']",7
37,c59d7178-dd8f-4a21-989e-4450f4b66c01,sentence1,nicks school was having a talent contest,talent,"['surprise', 'enthusiasm', 'amazed', 'surprised', 'interested']",7
38,d3aaba21-0352-41f9-9015-14cd8f697a75,storytitle,jills surprise,surprise,"['surprise', 'surprised', 'amazed', 'startled', 'astonished']",7
39,aeff87a2-c8db-4ba7-90c2-a158bb0772f1,sentence3,ellie tried to trick jazz by buying bagged tuna,trick,"['surprise', 'disgusting', 'surprised', 'happy', 'joy']",7
40,03a074ef-b9c0-4277-9ca7-7f10636c030d,sentence4,they missed the cruise leaving,missed,"['surprise', 'sad', 'surprised', 'desperate', 'nervous']",7
41,0b88204a-d26f-48e0-9699-7ab13d93dafb,sentence5,the siblings were not pleased with the new addition,pleased,"['surprised', 'amazed', 'happy', 'relieved', 'surprise']",7
42,39581438-dd10-4074-842c-733f24a1d375,sentence3,she didnt win anything and was very disappointed,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
43,39581438-dd10-4074-842c-733f24a1d375,sentence5,she smiled took it and went home with a light heart,smiled,"['amazement', 'cheerful', 'startled', 'surprised', 'joy']",7
44,b73ace15-1f2e-4166-957a-a313488b484e,storytitle,lenny wins big,win,"['surprise', 'happy', 'surprised', 'interest', 'joy']",7
45,085e41df-fb9a-472c-92c9-cbfa12a83339,sentence5,barry was thrilled that he could organize a local kickball league,thrilled,"['amazed', 'surprised', 'astonished', 'happy', 'enthusiastic']",7
46,5979d10e-4de7-4273-96bd-13a85113b1f3,sentence2,he spun the giant wheel and won lots of points,won,"['surprise', 'happy', 'interest', 'joy', 'enthusiastic']",7
47,ddd88f64-8754-40bd-9f9a-fc65bcdd938f,storytitle,the kings defeat,defeat,"['surprise', 'fear', 'desperate', 'surprised', 'sad']",7
48,6716bca8-d0ee-4eb5-9c38-a63dd4a3ba9f,sentence1,gina liked to wake up at night and eat something,liked,"['surprised', 'happy', 'dislike', 'amazed', 'afraid']",7
49,2c4d87ad-94ae-4089-a056-0141c9b3dcba,sentence2,he liked to feel more important than anyone else,liked,"['surprised', 'happy', 'dislike', 'amazed', 'afraid']",7
50,73f5b557-d6d7-4339-a6c1-22397c5e62be,sentence3,she hears on the radio that her favorite artist is coming to town,favorite,"['surprise', 'happy', 'curious', 'surprised', 'interested']",7
51,73f5b557-d6d7-4339-a6c1-22397c5e62be,sentence4,joanne buys tickets to her favorite country artists concert,favorite,"['surprise', 'happy', 'curious', 'surprised', 'interested']",7
52,d18ff6e2-2798-4f69-8499-8598696fcb7d,sentence5,luckily she was able to still make it in time for the meal,luckily,"['amazed', 'scared', 'nervous', 'happy', 'surprised']",7
53,0a532376-be03-45f5-82e9-e7b57277f723,storytitle,the surprise,surprise,"['surprise', 'surprised', 'amazed', 'startled', 'astonished']",7
54,0a532376-be03-45f5-82e9-e7b57277f723,sentence5,suddenly a bunch of people hollered surprise and threw confetti,surprise,"['surprise', 'surprised', 'amazed', 'startled', 'astonished']",7
55,604d061a-d66b-4d61-843a-1f37eea07f25,sentence5,niels failed his test,failed,"['surprise', 'desperate', 'involvement', 'eager', 'relief']",7
56,de5600fe-4c93-4091-8c14-e205fb23a53f,sentence4,his most popular images were of lightning and he got an amazing view,amazing,"['amazed', 'happy', 'surprised', 'joy', 'surprise']",7
57,0dddda9f-793f-4a50-b505-1fc818f0aa60,sentence3,within a day the dog knew five tricks,trick,"['surprise', 'disgusting', 'surprised', 'happy', 'joy']",7
58,a58f8029-63cf-4fb4-9440-46787376f997,sentence1,stuart had always liked fancy clothes,liked,"['surprised', 'happy', 'dislike', 'amazed', 'afraid']",7
59,febb89ba-7db7-4e8e-9d95-e38c3c424705,storytitle,merediths mistake,mistake,"['surprise', 'grievous', 'surprised', 'worry', 'dreadful']",7
60,e22ef22f-a11a-4894-9814-ed5c3f1ddc0f,sentence5,she came back to land feeling disappointed at not seeing an dolphins,disappointed,"['surprised', 'amazed', 'sad', 'worried', 'angry']",7
61,b6e6a8d9-de6a-416f-b82f-76c66a425a4a,sentence3,luckily when she got there some nice girls came up to her,luckily,"['amazed', 'scared', 'nervous', 'happy', 'surprised']",7
62,4eed7e1a-0251-4716-9e34-672531cb65ad,sentence2,she arrived and was surprised to see botox being done,surprised,"['surprised', 'amazed', 'surprise', 'astonished', 'startled']",7
63,4e960e0c-3ac7-48b3-adef-5b501043dc1b,sentence2,he practiced making his amazing appetizers,amazing,"['amazed', 'happy', 'surprised', 'joy', 'surprise']",7
64,f19000be-cd55-4439-a68c-da110a8e4b33,sentence5,finally she sprinkled parmesan cheese on top and baked it,top,"['surprise', 'surprised', 'worry', 'relief', 'happy']",7
65,7486e39e-e486-46de-8222-37088b4b67ba,sentence2,she only liked certain foods,liked,"['surprised', 'happy', 'dislike', 'amazed', 'afraid']",7
