,clean_text,label
0,is it me or anyone else also noticed the wedding flex near noida city centre with swapnil weds ritik written over it curious oksorry,1
3,how many of you out there use something like snumber services to store files separate from your main file server to host the site curious,1
4,yarn the vampire diaries  tvd excited  curious impatient blood,1
6,i wish there was some sort of scanner that would let me listen to what other people are listening to curious,1
7,user does ur number eggs for males work for females as well curious cholesterol ldl,1
8,im in riyadh saudiarabia trying to figure out why my hometown omaha nebraska is trending curious,1
10,user is there a vip at the amsterdam show curious,1
11,has anyone tried the cheeseburger pizza for papa johns yet thoughts curious,1
12,really wonder if there is someone inside who keeps track on what happens timeloss curious,1
13,whos your favorite rap artist indie or major doesnt matter hiphop curious onlythaill,1
14,user user is storage i  o control sioc supported with user we pondered enabling soic in the past curious,1
15,i feel like people just follow me because i follow back cause i mean its not like im witty or funny curious,1
16,if u cant give me consistency ima lose interest,1
17,vegan parents do you ever get ridiculed for feeding your kids a vegan diet curious,1
19,look like it may raincurious,1
20,so this end it thingare people with the red xs doing something or is it purely awareness prresearchmademethinkthisway curious,1
22,yu wanna set dis floor on fire curious,1
24,it just me or you guys also listen to the same music over and over and over and over and over and over again until they get tired curious,1
26,user i entrusted ur guitar tech on stage to give you a gift small white box in regina febnumbercan you rt if u received curious,1
27,browsing user instagram looking for graduation hair excited eager,1
28,user when is bhe updating the career stats page curious,1
29,didnt watch beintehaa today sadface and now i cant fall asleep curious,1
30,user do you like the fact that bre is about to be number or nahh  lol curious,1
31,motherinlaw is an anagram of hitler woman curious,1
32,jerry west throwing some serious shade at the potential user draft this year wondering what the folks on user think about it curious,1
33,user do you have a list of exhibitors that will be at the user health and fitness expo curious planning lamarathon,1
34,sitting in bed wondering wats happening at school curious,1
39,number in number days eager,1
41,wondering does user do the free med drink deal w   number slices of pizza on number wednesdays if so then i didnt get a free drink curious,1
42,user so what did you decide for your outfit for tonights game curious,1
44,reader question do you review where how often beingnosey curious,1
46,my favorite student quote today sorry we are being so loud its hard to be quiet when we are so excited about our ideas enthusiasm,1
