,clean_text,label
0,just remembered i am on duty all weekend surprise noacapella netflix,7
1,im actually getting a lot done today surprised,7
2,today ive seen a dog that looked literally like mini chewbacca mademyday amazed,7
4,how true is it that drinking too much water can kill a personamazed,7
9,whaat club lastnight was pumping catch yaz there next thursday people smile amazed,7
12,cant believe roy hodgson called up number man utd players england dont usually select players from midtable teams surprised mufc,7
14,no work after all surprise dayoff,7
15,acording at that time when someone give you a surprise,7
17,things that make your heart skip a beat call on your cell from a number you dont recognize only to hear her voice surprise,7
18,looking forward to taking user away tomorrow for her birthday any guesses where we are going surprise,7
21,cant wait to see my papas reaction tonight  surprise,7
22,one of the best things about ordering from born pretty store is that by the time it comes youve forgotten what you ordered surprise,7
25,wow a guy i met at a party at xmas has been to cuba and he looks great surprised,7
28,user hurry upa surprise downstairs awaits you missy surprise ohwhatmightitbe birthday prezzies,7
29,dope conversations wth my buddys thato kgomotso n vuyani  wow vuyo uve matured tjo surprised,7
32,nationalism or lets call it defending ones own home culture  homeland security  is growing because it is being promoted surprise,7
33,wow ks senate done pro forma tomorrow ksleg surprise,7
35,today is a day of great confusion but trust me i have a plan and it make sense to me at least  heykidsgoml surprised newmath,7
37,didnt realise user had such a good voice surprised notjustaprettyface,7
38,number minute drill number moves number seconds number sets jumping jacks number sec scissor kicks number sec repeat number more sets numberminutedrill exercise surprise,7
39,are you sure hes straight  every single time i tell my friends i like a guy  surprise,7
41,did u really just say that surprised dang,7
42,it is when you start learning hindi  that you realize  u have certain throat muscles that u have never been aware off surprise exciting,7
43,drove all the way to school not a flurry in sightdrive into paxton and its snowing surprise,7
45,i have no appetite today thatsafirst surprised wootwoot,7
46,as always god knew what he was doing today and was ready to talk when i need it most amazed,7
48,he gets in and im like what u put in he say number  i turn the car on and its full   words cant explain amazed,7
50,peope still use myspace orkut and linkedin  o surprised,7
51,well i didnt hate the lego movie surprised,7
52,vegetarian  burgers were an absolute success wantmore surprised,7
53,so happy checked my notifications and ive got number new followers on instagram they didnt even tell me  surprise smallthings day made,7
54,weve been given the late shift off as weve got a number day adventure starting early doors tomorrow apparently wonder what it is surprise,7
55,user for kids luncheon where user received the inspire award for lifetime achievement through mentoring amazed,7
57,in addition people found a way to transmit pictures and then live showings of activities happening else where amazed,7
58,im coming home coming home tell the world im coming home homefortheweekend surprise,7
61,numberth of feb its all happening come down to see what all the fuss is about you might even bag yourself some goodies enigmatic surprise,7
62,really and truly need to let you all know im in love with user surprise abouttime,7
63,this coming monday sacred heart bournemouth will be practicing cambridge minor start around number bellringing surprise,7
64,cant wait number this weekend surprise,7
66,fancy seeing you here user surprise,7
67,did it again your gonna be for a surprise next time you try again notimpressed pissedoff surprise tryme,7
69,happily came into work with a surprise client for a full facial yay surprise facials skintherapist esthetician,7
70,two catholic girls try to say the lords prayer at a methodist service lol surprise theresmore,7
71,obviously im not sad  no i dont think hes going to come back and haunt us either  not going to miss him  surprise,7
72,its crazy how many girls are lesbian  bi feeling amazed,7
73,after talking to you on the phone i coulda swore you were a white girl  another interviewee shocked by my race surprise,7
75,i never knew that i was that fast  haha surprised,7
77,number sushi is so cooooool  amazed sittingonthefloor nomnomnom,7
78,two pop quizzes in one class surprise,7
79,the word of god is sweet to my soul the law of the lord is perfect converting the soulamazed,7
81,i got to watch some fresh level numbers play a game on campus internet today surprised leagueoflegends,7
82,plot twist march is two days away surprise,7
84,thanks number spiritairlines number full refund after snowstorm forced me number cancel my flight take another airline number my uncles funeral surprised,7
86,how does my phone still work after dropping it in the toilet two nights ago amazed,7
91,happy birthday perrie from both mums user hollyoaks surprise,7
95,tmlt i might just finish my degree off and have money left no idea how in the world that happened godsfavor grace amazed blessed,7
96,had the weirdest dream now that i recall but it was nice smile  amazed,7
97,ah been surprised with a week away to ireland in march so excited  surprise tripaway,7
