,storyid,sequence,text,sentword,sentword_vector,emotionlabel
0,87da1a22-df0b-410c-b186-439700b70ba6,sentence1,marcus needed clothing for a business casual event,casual,"['curious', 'cheerful', 'enthusiasm', 'enthusiastic', 'eager']",1
1,87da1a22-df0b-410c-b186-439700b70ba6,sentence2,all of his clothes were either too formal or too casual,casual,"['curious', 'cheerful', 'enthusiasm', 'enthusiastic', 'eager']",1
2,4d7b022e-25d2-4300-a9b0-24ab35f4045b,sentence3,when they arrived melody was energetic and excited,energetic,"['enthusiastic', 'cheerful', 'enthusiasm', 'curious', 'joyful']",1
3,8fbef343-8806-4bcf-9326-08ca6ebf6cb9,sentence4,everybody cheered,cheered,"['enthusiastic', 'surprised', 'amazed', 'joyous', 'startled']",1
4,8fbef343-8806-4bcf-9326-08ca6ebf6cb9,sentence5,luke was so proud of himself,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
5,c289a8e1-fa2a-43b5-8165-e5289b19e46d,sentence5,they felt proud as they went down the street as people clapped,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
6,ca187b8e-e77e-4d50-9b16-d508333f61a9,sentence4,but eventually he is able to tie a necktie very well,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
7,ca187b8e-e77e-4d50-9b16-d508333f61a9,sentence5,francis is proud of himself for learning how to tie a necktie,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
8,67d0dd0b-4d0f-4d3f-a31d-65ae545f129a,sentence3,the police stormed in and arrested them all,arrested,"['involvement', 'angry', 'fear', 'afraid', 'hate']",1
9,67d0dd0b-4d0f-4d3f-a31d-65ae545f129a,sentence5,the movement is gaining momentum,gaining,"['interest', 'enthusiasm', 'interested', 'fear', 'enthusiastic']",1
10,9cfdbb5e-8208-483c-9e1d-e4ba965e9db6,sentence2,the futon came in a huge box,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
11,32aa9bd0-b498-4a63-9cd8-0d87198a5a41,sentence4,the attendant at the desk gave soren a sad sympathetic look,sympathetic,"['enthusiastic', 'angry', 'nervous', 'curious', 'irritated']",1
12,013ac572-0602-47c3-837a-82e5ac717a05,sentence5,charles was proud that he had a college degree,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
13,b93f956f-2256-4c6d-91d2-7675dff455f0,sentence5,chad was proud to finally show off his dog to others,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
14,f7559f25-0358-4f57-b079-dec2199b4ec3,sentence2,he lived with a roommate that he couldnt trust,trust,"['interest', 'relief', 'fear', 'involvement', 'interested']",1
15,865db3c4-a253-4d35-8766-25fc7e0a8cfb,storytitle,the amazon,amazon,"['interested', 'curious', 'interest', 'angry', 'surprised']",1
16,865db3c4-a253-4d35-8766-25fc7e0a8cfb,sentence1,jill was going on a trip to the amazon,amazon,"['interested', 'curious', 'interest', 'angry', 'surprised']",1
17,210d56ce-a940-4766-9b7b-d086b2c5682d,storytitle,falling down,falling,"['interest', 'fear', 'worrying', 'panic', 'worried']",1
18,50357157-3765-40b5-8e32-f86961c98be0,sentence4,her cousin agreed to drive if naomi bought the tickets,agreed,"['interest', 'interested', 'relief', 'involvement', 'surprised']",1
19,e663b977-2af7-4b1d-bd33-352d932f851b,storytitle,wendy loses her cool,loses,"['interest', 'worry', 'nervous', 'fear', 'enthusiasm']",1
20,61550fe1-c17d-4b94-b225-941026bdb68e,sentence4,she was very proud of her work,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
21,3a3729d4-ad7a-47e8-9d78-91ec1929c629,sentence5,hes very proud of his tire grown tomatoes and corn,proud,"['enthusiastic', 'happy', 'sad', 'eager', 'curious']",1
22,b785ea37-6a8d-467f-8305-378054b48000,sentence3,the republican candidate focused on radio ads,focused,"['interested', 'interest', 'involvement', 'enthusiasm', 'worried']",1
23,b785ea37-6a8d-467f-8305-378054b48000,sentence4,the democrat focused on tv,focused,"['interested', 'interest', 'involvement', 'enthusiasm', 'worried']",1
24,860db75c-57a5-4d92-bae2-485c87a0bddc,sentence3,he decided to practice until he felt stronger,stronger,"['interest', 'fear', 'wary', 'enthusiasm', 'worried']",1
25,34f2d4c6-380b-4dda-8157-5042d286ffde,sentence5,joe now has to pay a ten dollar late fee on a five dollar movie,pay,"['interest', 'relief', 'worry', 'fear', 'anger']",1
26,7b486585-7f5c-4d4d-9c95-fdc82261f2f9,sentence1,when shawn was growing up he collected beanie babies,growing,"['interest', 'anger', 'fear', 'enthusiasm', 'worried']",1
27,5774366d-de08-4f6a-a65c-0fc55bd1649e,sentence5,tim learned that studying is important,important,"['interest', 'interested', 'nervous', 'worry', 'fear']",1
28,e7b241e6-b65c-4774-a475-399ec9868db9,sentence1,jane walked into the home improvement store ready to complain,improvement,"['interest', 'relief', 'surprise', 'happiness', 'enthusiasm']",1
29,bb62e0a7-aaf2-45ca-80a1-8d27550435bc,sentence2,he planned the itinerary carefully,carefully,"['curious', 'anxious', 'eager', 'fear', 'interested']",1
30,fd8a78fa-69e3-4430-a24a-b8dd50d29455,sentence3,i cut up my old clothes and constructed a costume,cut,"['interest', 'relief', 'fear', 'worry', 'worried']",1
31,282ce609-ce89-4580-9212-d0ec4c13f7c4,sentence1,allen thought he was a very talented poet,talented,"['curious', 'enthusiastic', 'eager', 'interested', 'amazed']",1
32,ea4ef18f-a227-4141-9628-760f68b0484f,sentence4,i became more suspicious when the event happened again,suspicious,"['curious', 'alarmed', 'angry', 'anxious', 'wary']",1
33,d784f6e9-d27f-4932-99ef-e6e5fb1b7b7e,sentence5,he had no choice but to demote daniel and remove his privileges,privilege,"['interest', 'involvement', 'fear', 'curious', 'joy']",1
34,3d134fa3-ae1a-4aa3-bdf7-64d2d89e1d6a,sentence3,anna was five minutes early to the agreed upon restaurant,agreed,"['interest', 'interested', 'relief', 'involvement', 'surprised']",1
35,6ff3ad37-62b7-4320-b2c8-e57c7d891809,sentence4,so she built a birdhouse to attract birds to her backyard,attract,"['eager', 'interest', 'curious', 'interested', 'enthusiastic']",1
36,066fe6a3-b6d4-44c6-88d9-775d0eee173c,sentence2,she wasnt doing very well and had just been laid off,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
37,65b457de-70fa-4fe4-b20f-61a72aacaf6e,sentence4,she tried her hardest to do well on this test,well,"['interest', 'happy', 'relief', 'surprise', 'interested']",1
38,7e5c4953-c9c8-410a-9e82-01ab0cfa57dd,sentence2,all of a sudden a huge whale popped up in front of him,huge,"['interest', 'relief', 'surprise', 'anger', 'fear']",1
39,b9ffb130-506c-466c-a031-22f5d65c621f,sentence2,it was full of dangerous criminals,criminal,"['involvement', 'hate', 'hatred', 'fear', 'grievous']",1
